"","Actinobacillus","Actinomyces","Capnocytophaga","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Abiotrophia","Lautropia","Staphylococcus","Klebsiella","Moraxella","Pseudomonas","Lactobacillus","Aspergillus","Botrytis","Candida","Clavispora","Cryptococcus","Penicillium","Saccharomyces","Schizophyllum","Trichosporon","unidentified","PIV3","PIV4","RV","Boca"
"Actinobacillus",1,0.0683398532579009,0.0741062523530776,0.265241445416836,0.120019411527378,0.00988893492417375,0.00849965753680937,0.165396719332045,0.0829589748511977,0.145772596351083,0.0810517540089505,0.0334704562326819,0.00622165294355592,0.142951320151318,0.0181570307071147,0.0730947978483849,0.0275429913767868,0.226291942090957,0.00248603215908816,0.00382549556239364,0.0133753583817159,0.0891506182515382,2.39589796718898e-05,0.00369938899895905,8.00177765092336e-06,2.64044888563797e-05,0.0381215082063561,0.00688200617072132,0.000386651244071001,0,0.0888288736708884,0.0092411479251947,0,0,0
"Actinomyces",0.0683398532579009,1,0.248517838035204,0.194944480395338,0.179795102883428,0.325084706113838,0.0431862637829501,0.193399191290716,0.365136029669037,0.255578808349032,0.298264658855195,0.161093337058002,0.0361467824774919,0.481511871770581,0.167701366084757,0.043784479226003,0.0121687871378203,0.147971442174471,0.0250415710222427,0.143117489233438,0.0690363269990426,0.29865762473078,0.053278931082442,0.0216244224848281,0.0620065480392817,0.192934897989274,0.166920009575299,0.145261004762058,0.00011345919786776,8.19564033177622e-05,0.316423200510656,0.023847754943803,0,0.00295147065589063,0.0278960429157484
"Capnocytophaga",0.0741062523530776,0.248517838035204,1,0.269793308943588,0.0658158784443553,0.0508048581216194,0.00565438437419019,0.516056297258995,0.149150793930051,0.440829317672827,0.166248750667636,0.0233082643612642,0.00622675712668863,0.15250901704024,0.0892754535754916,0.200774312050151,0.0275211320841858,0.0525111164130381,0.00801152041495612,0.0408119610652558,0.0726963746650904,0.054217060348219,0.00108114761760802,0.0037024277840183,0.000480482427918316,0.0809714074118407,0.0544801945317377,0.0356852097558602,0.000668488006976165,0.000482914526563794,0.0346774451945384,0.0041987571750387,0,0.00037844011435717,0.0413714870096199
"Fusobacterium",0.265241445416836,0.194944480395338,0.269793308943588,1,0.205798024288836,0.03132003295747,0.0074198585611035,0.398645413414172,0.245398979463048,0.327945183302275,0.205790504483674,0.0202644687282396,0.006894914195407,0.252120320641726,0.194947119125085,0.166060103682634,0.0630869971083663,0.297866294494563,0.0111784595231507,0.0238964027325135,0.0742721216783221,0.272417173613626,0.00265659023142339,0.00410027081883568,0.0011063766890721,0.00438534195577733,0.0177377411950932,0.0193448844677603,0.000603524945953171,0.000435981396307072,0.11286207082158,0.00899320560089345,0,0.000453104230882184,0.0223134288163053
"Gemella",0.120019411527378,0.179795102883428,0.0658158784443553,0.205798024288836,1,0.14691511069382,0.0185704722633337,0.158511312705292,0.0930018755305213,0.28870668938979,0.280251253255351,0.0512731222878284,0.0148477914132621,0.217138224834976,0.0535265582059318,0.0442882134883725,0,0.201231836838267,0.196033660090811,0.038716641905177,0.0152604618703061,0.0516695671471503,0.0185606603900526,0.00884399501263278,0.0608891431988682,0.189273792848269,0.103871810559092,0.0906995419902177,0.000117839201942194,0.000108483452097019,0.160570037614881,0.00586038448066695,0,0,0.00507016177961661
"Granulicatella",0.00988893492417375,0.325084706113838,0.0508048581216194,0.03132003295747,0.14691511069382,1,0.162738837219838,0.0289356674293626,0.217528351681825,0.0913131408497397,0.130707728057254,0.407737865171569,0.121609220888642,0.147921561068289,0.0604258172990398,0.0104037384849911,0.00347474276985926,0.00239151070639021,0.122225085587774,0.196005913372168,0.00638490899789712,0.0743921012840204,0.087604839951423,0.0740460033540884,0.0992692766944748,0.35738104027336,0.339149339899707,0.371910670214304,3.22579975597925e-05,2.33010606756068e-05,0.330579128645862,0.065623478485845,0,0.0471005676848,0.0158819345128846
"Haemophilus",0.00849965753680937,0.0431862637829501,0.00565438437419019,0.0074198585611035,0.0185704722633337,0.162738837219838,1,0.00394704820988745,0.0384695480358979,0.0110308296519762,0.0171053885699997,0.33118732117158,0.656450516164506,0.0252652173799056,0.0104767463536304,0.00167161069690069,0.000328718649294069,0.000946722892296137,0.0288748050645538,0.09231281189188,0.000791103049127218,0.0147952447106409,0.0698012604958873,0.560114770420265,0.128143652253571,0.0946945512968289,0.0896020861202441,0.306293461865374,3.04692406472018e-06,2.2008890802061e-06,0.0961248260626422,0.264598637009501,0,0.153957427048851,0.0532796362483422
"Leptotrichia",0.165396719332045,0.193399191290716,0.516056297258995,0.398645413414172,0.158511312705292,0.0289356674293626,0.00394704820988745,1,0.218717045334497,0.448407897321755,0.227029605870575,0.0169909868300555,0.00507327355541454,0.242735880708082,0.120767999017936,0.315510494501701,0.0848533724874806,0.162022049146408,0.00795429319478747,0.0457782436771381,0.138544880392945,0.149746982154593,0.000818485154416959,0.00301585947940897,0.00824356302657714,0.0189599299330561,0.0075155688751013,0.0212443225931267,0.000820890718748579,0.000593022518540876,0.0632538065130221,0.00493062790091148,0,0.000455905085327224,0.0351966944343455
"Neisseria",0.0829589748511977,0.365136029669037,0.149150793930051,0.245398979463048,0.0930018755305213,0.217528351681825,0.0384695480358979,0.218717045334497,1,0.35977167492502,0.280946948768453,0.116006528343729,0.0365637621711464,0.320126574522349,0.102319004114448,0.199781741595339,0.0120283077855251,0.0160771347570678,0.00766771155874935,0.253934676338908,0.0235053676147183,0.192044585276134,0.0810318005940524,0.0218757421917564,0.0680921722238236,0.125545323175452,0.132923810695001,0.0797740191032709,0.000112141546981137,8.10045932323478e-05,0.276145299443955,0.0312416584685218,0,0.021867429722195,0.145464020937467
"Porphyromonas",0.145772596351083,0.255578808349032,0.440829317672827,0.327945183302275,0.28870668938979,0.0913131408497397,0.0110308296519762,0.448407897321755,0.35977167492502,1,0.362109153695594,0.0408410667502793,0.0146485185574938,0.350767509688843,0.13816464847338,0.306677911216649,0.0300829244588261,0.108162406345805,0.119271516278008,0.0926032211823038,0.0551229389510647,0.167322975101636,0.0154424712613541,0.00872494522503953,0.0273353317534261,0.0696543340661261,0.0849356870583979,0.0683884948537137,0.000283013535465559,0.000204437523963041,0.159489659584277,0.0148818227957286,0,0.000588671491235204,0.0981573522276273
