"","Actinobacillus","Actinomyces","Capnocytophaga","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Abiotrophia","Lautropia","Staphylococcus","Klebsiella","Moraxella","Pseudomonas","Lactobacillus","Aspergillus","Botrytis","Candida","Clavispora","Cryptococcus","Penicillium","Saccharomyces","Schizophyllum","Trichosporon","unidentified","PIV3","PIV4","RV","Boca"
"Actinobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0,0,0.73991814135488,0,0,0.0770403895838159,0,0,0,0,0,0.0273645933060147,0,0.320939183031126,0,-0.170580245496806,0,0.304926333862618,0,0.0576647067528928,0.254214133190453,0.371508439580371,0,0,0,0,-0.00135079924014765,0,0,0,0.0302735623471695,0,0,0,0
"Capnocytophaga",0,0.0641325437650846,0,0,-0.0294072056704028,0,0,0,0,0.328131618754815,0,0,0,-0.00407782153206117,0,0,-0.535150773250882,0,0,0,0,0,0,0,0,0.0254089621407179,0,0,0,0,0,0,0,0,0
"Fusobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus",0,-2.28582138649623,-0.517210001644825,-0.533328002700678,0,-0.522636519164362,0,0,-1.98668779573702,-1.72868278843051,-0.137125446257046,-0.0410843805919713,-0.330899673064001,0,0,0,0,-2.24065594862285,0,-0.345314454938362,-4.11711189255265,0,0,0.0825353245208207,0.0552925980203297,0,0,0,0,0,0,-0.152588103975896,0,0,0
"Leptotrichia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porphyromonas",0,0,0.197212230173771,0,0,0,0,1.14069390649613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56509128118411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus",-1.00429363311226,-1.45520837711946,0,0,0,-0.29204851520914,-0.355392140342743,-0.305500019112044,0,-1.27242085301343,0,0,0,0,0,1.88179535377932,0,0,0,-0.611888204050319,0,0,0,0,0,0.0542289657648452,0,0.212022069354134,0,0,0,-0.22650870665234,0,-0.206254332322084,-0.273294790285216
"Veillonella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lautropia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moraxella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
