"","Actinobacillus","Actinomyces","Capnocytophaga","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Abiotrophia","Lautropia","Staphylococcus","Klebsiella","Moraxella","Pseudomonas","Lactobacillus","Aspergillus","Botrytis","Candida","Clavispora","Cryptococcus","Penicillium","Saccharomyces","Schizophyllum","Trichosporon","unidentified","PIV3","PIV4","RV","Boca"
"Actinobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0987118739192738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0,0,0,0,0,0.258303474212575,0.261858995109157,0,0.219285583370545,0,0,0,0,0.306575456092818,0,0,0.158615613265586,0,0,0,0,0.243285821708985,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capnocytophaga",0,0,0,0,0,0,0,0,0.194188558310897,0.201966602501647,0,0.124945530492617,0,0,0,0.095720212846947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0.20086522827065,0,0,0,0.095720212846947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella",0,0,0,0,0,0,0,0,0,0,0.160243414918158,0,0.173677237904563,0,0,0,0,0,0.160243414918159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella",0,0.258303474212575,0,0,0,0,0,0,0,0,0,0,0.272389667205666,0,0.170471683468048,0,0,0,0,0,0,0,0,0,0,0,0.197292963050195,0.288024576477686,0,0,0,0,0,0,0
"Haemophilus",0,0.261858995109157,0,0,0,0,0,0,0,0,0,0.255738289448357,0.268282275202758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195948905993362,0,0,0,0
"Leptotrichia",0,0,0,0,0,0,0,0,0.266658436407323,0.218178036397194,0,0,0,0,0,0.095720212846947,0,0,0,0,0,0,0,0,0,0,0,0,0.191137929836619,0,0,0.135715212309056,0,0,0
"Neisseria",0,0.219285583370545,0.194188558310897,0,0,0,0,0.266658436407323,0,0,0,0,0.271616913695184,0,0,0,0,0,0,0.195320668373496,0.129143925168831,0,0,0,0,0,0,0,0,0.0665564228884423,0,0,0,0,0.139379100221258
"Porphyromonas",0,0,0.201966602501647,0,0,0,0,0.218178036397194,0,0,0,0,0,0.212348210043969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella",0,0,0,0,0.160243414918158,0,0,0,0,0,0,0,0,0,0,0,0,0.095720212846947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia",0,0,0.124945530492617,0,0,0,0.255738289448357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382547102526168,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus",0,0,0,0,0.173677237904563,0.272389667205666,0.268282275202758,0,0.271616913695184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345060741799464,0,0.21337862010123,0,0,0,0,0,0,0,0,0
"Veillonella",0.0987118739192738,0.306575456092818,0,0.20086522827065,0,0,0,0,0,0.212348210043969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abiotrophia",0,0,0,0,0,0.170471683468048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193741948317147,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lautropia",0,0,0.095720212846947,0,0,0,0,0.095720212846947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus",0,0.158615613265586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158615613265586,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella",0,0,0,0.095720212846947,0,0,0,0,0,0,0.095720212846947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moraxella",0,0,0,0,0.160243414918159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas",0,0,0,0,0,0,0,0,0.195320668373496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206076007943125,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus",0,0,0,0,0,0,0,0,0.129143925168831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aspergillus",0,0.243285821708985,0,0,0,0,0,0,0,0,0,0,0,0,0.193741948317147,0,0.158615613265586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149824531589637,0,0,0,0
"Botrytis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119173267734558,0,0,0,0,0,0,0,0,0,0,0
"Candida",0,0,0,0,0,0,0,0,0,0,0,0.382547102526168,0.345060741799464,0,0,0,0,0,0,0.206076007943125,0,0,0.119173267734558,0,0.0901371361536292,0,0,0,0,0,0.205990699071205,0.295204088045949,0,0.0874471517383493,0
"Clavispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901371361536292,0,0,0,0,0,0,0,0,0,0,0
"Cryptococcus",0,0,0,0,0,0,0,0,0,0,0,0,0.21337862010123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Penicillium",0,0,0,0,0,0.197292963050195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saccharomyces",0,0,0,0,0,0.288024576477686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schizophyllum",0,0,0,0,0,0,0,0.191137929836619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trichosporon",0,0,0,0,0,0,0,0,0.0665564228884423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"unidentified",0,0,0,0,0,0,0.195948905993362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149824531589637,0,0.205990699071205,0,0,0,0,0,0,0,0,0,0,0
"PIV3",0,0,0,0,0,0,0,0.135715212309056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295204088045949,0,0,0,0,0,0,0,0,0,0,0
"PIV4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874471517383493,0,0,0,0,0,0,0,0,0,0,0
"Boca",0,0,0,0,0,0,0,0,0.139379100221258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
