"","Actinobacillus","Actinomyces","Capnocytophaga","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Abiotrophia","Lautropia","Staphylococcus","Klebsiella","Moraxella","Pseudomonas","Lactobacillus","Aspergillus","Botrytis","Candida","Clavispora","Cryptococcus","Penicillium","Saccharomyces","Schizophyllum","Trichosporon","unidentified","PIV3","PIV4","RV","Boca"
"Actinobacillus",1,0.0369269461710355,0.00672892096551747,0.160653000067863,0.0585010458491577,-0.100136340230367,0.0292063892260718,0.0396780591461344,0.0573766257495638,0.0313815083573631,0.181281050437498,-0.0290950483443777,-0.210254204433909,0.211881774674832,-0.0428111377838105,0.0522512167628269,0.00148118101843712,0.193140188481143,-0.0382869531463794,-0.0607724358892593,-0.0143315650364401,0.0118329546049933,-0.0460145216544879,-0.092156116574186,-0.0379838621165976,-0.125965998351383,-0.00759265186704318,-0.101322268426117,0.0170552593952315,-0.0324548914339685,0.0899917904331619,0.188051436911204,NA,-0.0529048681136427,-0.0323016206227492
"Actinomyces",0.0369269461710355,1,0.404542886198167,0.246738614190034,0.0387220302841617,0.406108349824995,-0.406499698929111,0.257395297355924,0.19732609742211,0.254191845350757,0.414389422294271,0.31086954515473,-0.16865107919692,0.510888799440031,0.138681268136801,-0.0125373912761842,0.311553875348095,0.384783522877869,-0.096263050926145,0.275450833678972,0.114514918776185,0.342237429731528,-0.117589862740017,0.110411024710364,-0.0873865703052355,-0.0505854337113371,-0.0462423718359096,-0.0399703109940328,0.188080417791989,-0.0607959340019626,0.172817088544216,0.0229474291467851,NA,-0.135923718291276,-0.0168870213803809
"Capnocytophaga",0.00672892096551747,0.404542886198167,1,0.163550379161156,-0.0350875082862423,0.0199518561291322,-0.302695056154105,0.496697405911174,0.272296135775643,0.688138172793496,0.156893346545695,0.168754512130705,-0.0125942752373864,0.100884446753443,-0.0298215489505788,0.168716484887089,-0.0178999656712932,0.0223134491496205,-0.0495514563821017,0.0539564764049181,0.00657270487706577,-0.0341022441398078,-0.0618800712929174,0.0630422250968607,-0.051850304743745,0.122679898967217,-0.0269215255704318,0.0128021383946832,0.337167399368618,0.12287254182658,-0.106550639876755,-0.0536405330819961,NA,-0.0646856977355923,0.198145795755126
"Fusobacterium",0.160653000067863,0.246738614190034,0.163550379161156,1,0.0724117790143263,-0.0364433751693706,-0.306039737168082,0.366817283456362,0.394795462325176,0.334923908179525,0.466181888674142,-0.192316418813957,-0.129432240572534,0.457107376101094,0.0670281072683277,0.0249161848972404,0.201881772130284,0.411021044322007,-0.0589234893405053,-0.0201989137804748,0.0155718435174189,0.276454425563299,-0.0742183577593761,0.00282638707718448,-0.0628403530197122,-0.206018965842453,-0.105407496939377,-0.0822256158412148,0.224872001675025,-0.0284983018177905,0.0275000122635184,0.200842431945689,NA,-0.0778490316215845,0.0907520602785653
"Gemella",0.0585010458491577,0.0387220302841617,-0.0350875082862423,0.0724117790143263,1,0.1243072277318,-0.0889127333488546,0.0705470849296093,-0.0848761110628191,0.185840737683126,0.422284884986266,-0.117234424160927,0.0173130311539452,0.204050733958021,-0.0349605109137148,-0.0394825405604105,-0.0671131000934282,0.283278466235199,0.434151075791012,-0.0366691889079853,-0.0493258785571193,-0.0348088052489719,-0.0882660257744702,0.168286101269687,-0.0533750430918428,0.139610526794981,-0.0403024184364144,0.0785951038568085,-0.0382015656685393,-0.066766477374307,-0.0320436829092759,-0.0923593055376964,NA,-0.111532286245811,-0.047227834659144
"Granulicatella",-0.100136340230367,0.406108349824995,0.0199518561291322,-0.0364433751693706,0.1243072277318,1,-0.277184626045647,-0.0866136881499296,0.0797013032703038,0.00212021752400862,-0.0310067814096998,0.381688970219852,-0.101780079181088,0.05098999747717,0.157681906350039,-0.0434948510479604,0.3711616272569,-0.0813591178986948,0.0738598561473956,0.0903575582652187,-0.0363435402640767,0.128331013448917,-0.117258575526715,0.0703519730377215,-0.106093200194441,0.216880252502816,0.337271695021906,0.109358187518015,0.0192055839341407,-0.0763046907622352,0.0793256496123294,-0.0255873062442966,NA,-0.0224759166872577,-0.116901891431361
"Haemophilus",0.0292063892260718,-0.406499698929111,-0.302695056154105,-0.306039737168082,-0.0889127333488546,-0.277184626045647,1,-0.366881160225675,-0.415275239811258,-0.355193061796261,-0.265018463309183,-0.068259134513257,-0.181786756644837,-0.325501963553463,-0.0680863306406879,-0.230392544696177,-0.148961394317657,-0.214409183905662,-0.164135109812568,-0.272527525695949,-0.294521954124684,0.0148445716974217,0.0291761100412987,0.244903152778551,0.16264796318904,0.0850791133356144,-0.0701316515996369,-0.0148067959648457,-0.208012858938742,-0.0905505504502685,-0.111978055432841,-0.335119655725581,NA,0.0420461091214052,-0.00784703262128787
"Leptotrichia",0.0396780591461344,0.257395297355924,0.496697405911174,0.366817283456362,0.0705470849296093,-0.0866136881499296,-0.366881160225675,1,0.651644827324632,0.83282236595706,0.455056990899316,-0.203611534323548,-0.121609786730882,0.431111648323016,0.00493148069700454,0.451165253870613,0.206431225124694,0.237216109439113,-0.0607020886359806,0.18629067006057,0.0731603260334633,0.0805023953011667,-0.0806817338504694,-0.078604463660466,-0.0613660629900491,-0.170607023182171,-0.120034488746114,-0.0148936620820415,0.691793121302165,0.331568582448208,0.0894522587964192,0.0368738128284128,NA,-0.0794619678824962,0.267800545925158
"Neisseria",0.0573766257495638,0.19732609742211,0.272296135775643,0.394795462325176,-0.0848761110628191,0.0797013032703038,-0.415275239811258,0.651644827324632,1,0.508177927285992,0.111816216472521,-0.094168875628603,-0.187160607630827,0.226806661216611,0.0205216651080306,0.518965487264044,0.298746470407157,-0.0317401561577696,-0.107371509774178,0.343904365062984,0.0686165228093892,0.135863243186138,-0.0944533599772696,-0.173674265803853,-0.0774595402732055,-0.180307903287426,0.163377307202879,-0.187894506634095,0.465109836433578,0.345259244023442,0.15827890892033,0.0958257765188711,NA,0.016840984825609,0.436624410183999
"Porphyromonas",0.0313815083573631,0.254191845350757,0.688138172793496,0.334923908179525,0.185840737683126,0.00212021752400862,-0.355193061796261,0.83282236595706,0.508177927285992,1,0.329853339386342,-0.102972821243637,-0.132424623121364,0.311019910536126,-0.0138742635285486,0.311242390393516,0.137258753377789,0.110756966727777,0.173001488598126,0.0928699066372949,0.04803459282446,0.0276569100603812,-0.0791948324322376,-0.0409300260408676,-0.0618877390965082,-0.12013116839085,-0.0825079427958628,0.0619306447815068,0.583536758232387,0.208570711013305,0.0646237375863867,0.0560410831794206,NA,-0.0928464636919741,0.305204556329536
