"","Actinobacillus","Actinomyces","Capnocytophaga","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Abiotrophia","Lautropia","Staphylococcus","Klebsiella","Moraxella","Pseudomonas","Lactobacillus","Aspergillus","Botrytis","Candida","Clavispora","Cryptococcus","Penicillium","Saccharomyces","Schizophyllum","Trichosporon","unidentified","PIV3","PIV4","RV","Boca"
"Actinobacillus",1,0.253080108694714,0.431839001364416,0.58373144912332,0.194207509756295,0.0054683407453029,-0.185344575016096,0.51647672438529,0.404333955183033,0.473290894146823,0.345327728761127,-0.0817529151130495,-0.157126266088448,0.444672235619296,0.0673335140447304,0.337696666973475,0.308423947228894,0.872580905475116,0.061539318213897,0.368259539280659,0.276575474861963,0.483899160247014,-0.181811669587422,-0.0914469266985349,-0.190045215760586,-0.294373560581396,-0.0884204062946862,-0.188903722971378,0.321048841298587,-0.0513855337573453,0.24489139432694,0.292642744389526,NA,-0.0834198519714567,-0.100479917032782
"Actinomyces",0.253080108694714,1,0.594170354018864,0.538617133613341,0.351022199771943,0.472863285683055,-0.407425863642831,0.570901876886868,0.523660391381277,0.542037111425872,0.601564783954289,0.175711589329905,-0.326158371696265,0.705456772484832,0.312629007227882,0.469008236868835,0.299986265387139,0.339818579399703,0.398970510905895,0.278189380735831,0.472635026413039,0.51426917583274,-0.31421678450357,-0.0899747232265558,-0.216562148194018,-0.311296985822302,-0.112545150020027,-0.11602327175136,0.266361179022016,0.159174043646504,0.144433029486659,0.273111894527223,NA,-0.11752114540674,-0.143042703548103
"Capnocytophaga",0.431839001364416,0.594170354018864,1,0.747922835881319,0.351660410368331,0.101626405881681,-0.202118413614825,0.771488296576755,0.529140191182009,0.758175748236781,0.651674777553308,-0.0301247109715584,-0.193519618677223,0.652505427791005,0.43454196107198,0.635927777124094,0.162828799207855,0.519543359957005,0.330315938942137,0.144554930226303,0.472114698579684,0.607067618232536,-0.284000131229163,-0.00130851227311332,-0.330309387455977,-0.278444566382449,-0.0673959889394705,-0.229387347901421,0.445395526112815,0.412282815243492,-0.0056562114367151,0.167963002605159,NA,-0.00182384889235404,-0.00123882034504694
"Fusobacterium",0.58373144912332,0.538617133613341,0.747922835881319,1,0.37081487255944,0.142811934553297,-0.171755697765377,0.894961335460906,0.708601013134647,0.821136833826858,0.723446575354191,-0.191557859024842,-0.348203936729506,0.844338196833371,0.517184155383762,0.718946647870547,0.390877687610009,0.483722867066513,0.493125417717788,0.18542145771368,0.526171099787852,0.840927892077228,-0.178772433724785,-0.0892451816873477,-0.252250737219877,-0.432307552180236,-0.204076992468411,-0.349701906654603,0.39816197644381,0.326556042813425,0.189798408312666,0.402236591625041,NA,-0.0227583096905439,-0.0323268758681513
"Gemella",0.194207509756295,0.351022199771943,0.351660410368331,0.37081487255944,1,0.164340450159453,-0.237413474715216,0.399558827533956,0.346537810002646,0.4015811645219,0.497735033808409,-0.0641902647518097,-0.117927296491196,0.446971944385069,0.12179123593421,0.280332677727906,-0.100486967285153,0.253024025184224,0.417716752468825,0.149631321973814,0.421947247864394,0.245028068643122,-0.259284154017431,0.040236001482348,0.000945799415384063,-0.155535348442427,-0.166784360308094,0.0823089990596901,0.0818289096990506,0.0803629194601425,-0.065001215696028,0.117851284475028,NA,-0.163131670006052,-0.0857006406546667
"Granulicatella",0.0054683407453029,0.472863285683055,0.101626405881681,0.142811934553297,0.164340450159453,1,-0.451437657292453,0.149643951833793,0.257945041072313,0.217692576951342,0.277015597495856,0.269051816257656,-0.16451678053615,0.262973426515131,0.239297512802091,0.0855357644416992,0.255609955120359,0.00277244586253511,0.195341187492506,0.115293064589891,0.0811374012276813,0.123945856118031,-0.20375065324314,-0.100767334217065,-0.103788397380324,0.0458192049199271,0.0957929439761707,0.173179621052689,0.0787433700530396,0.0520195838433293,0.0872217750700126,0.123012651514425,NA,0.0343095475803677,-0.124912988445173
"Haemophilus",-0.185344575016096,-0.407425863642831,-0.202118413614825,-0.171755697765377,-0.237413474715216,-0.451437657292453,1,-0.237451274547885,-0.332929971758273,-0.242806362872012,-0.275058117792257,-0.220840571148529,-0.0619828355224707,-0.330632120577772,-0.107135380142314,-0.0202769449592243,-0.169597999881765,-0.133441223128071,-0.0396759614240431,-0.386706318755986,-0.4730786421993,-0.0593389888726277,0.12945836175922,0.31077547756006,0.116502660836402,0.157546758864899,0.139800777008274,-0.117511313603256,-0.230022760596955,-0.0659709947904971,-0.17129253265778,-0.329515130139617,NA,0.0346883959403902,-0.128456892596909
"Leptotrichia",0.51647672438529,0.570901876886868,0.771488296576755,0.894961335460906,0.399558827533956,0.149643951833793,-0.237451274547885,1,0.730595734185573,0.722526619763145,0.681494452089342,-0.188193361957116,-0.329564120301135,0.760185712887905,0.507907309547282,0.700518025047848,0.39816197644381,0.470817553037591,0.368268081848275,0.283384878091518,0.553711735864902,0.741025726228735,-0.25508397142544,-0.110709212726077,-0.247698983906022,-0.333427760878425,-0.181045603001023,-0.312193486887896,0.438156845323737,0.399261491739478,0.0581527659408204,0.288864698289785,NA,-0.0179389029325463,-0.0228054207430901
"Neisseria",0.404333955183033,0.523660391381277,0.529140191182009,0.708601013134647,0.346537810002646,0.257945041072313,-0.332929971758273,0.730595734185573,1,0.587515978637142,0.544120335485356,-0.0776933502450184,-0.435401712192382,0.637609755761141,0.417240374904099,0.495137551515954,0.323070633187803,0.33678367012498,0.259225964923263,0.441036188614175,0.37483726172664,0.554533093413466,-0.145999745476328,-0.221340460205348,-0.190561755702756,-0.330082399249691,-0.137973315274901,-0.394099010707624,0.364611677131863,0.290905996305402,0.107674155044927,0.303865559397798,NA,0.0477847794241373,0.16385226862139
"Porphyromonas",0.473290894146823,0.542037111425872,0.758175748236781,0.821136833826858,0.4015811645219,0.217692576951342,-0.242806362872012,0.722526619763145,0.587515978637142,1,0.589579316779827,-0.0845277743761454,-0.243059154504362,0.675379101221384,0.450128601361,0.642345288382111,0.355169453335456,0.4306348159643,0.487037506824286,0.12751776576313,0.411475872126254,0.672691532654146,-0.252888748446739,-0.0488309169822422,-0.219380426301703,-0.298824155045902,-0.0801774190605414,-0.201747659241544,0.409144548495253,0.356768715414264,0.196569431580762,0.254064667097723,NA,-0.0462999700017177,-0.0349205911963846
"Prevotella",0.345327728761127,0.601564783954289,0.651674777553308,0.723446575354191,0.497735033808409,0.277015597495856,-0.275058117792257,0.681494452089342,0.544120335485356,0.589579316779827,1,-0.138521545471025,-0.178360134027721,0.832457358191194,0.511606504714498,0.583273413544255,0.34355376858229,0.435603532496448,0.514320827534105,0.0969498406129913,0.665443489610823,0.669564163154285,-0.210618372041664,-0.0928316265784744,-0.227108809495868,-0.321334105710417,-0.112625041350992,-0.204589332549914,0.379502760548291,0.280426844545775,0.0906340883805901,0.357965398195054,NA,-0.0843111432187665,0.0457591140906214
"Rothia",-0.0817529151130495,0.175711589329905,-0.0301247109715584,-0.191557859024842,-0.0641902647518097,0.269051816257656,-0.220840571148529,-0.188193361957116,-0.0776933502450184,-0.0845277743761454,-0.138521545471025,1,-0.046246904870017,-0.0690840369956146,-0.0276058607400912,-0.0944128522955782,-0.0401192019996446,-0.0284508713481901,0.00907031079174846,-0.0913192129260916,-0.0730652314167647,-0.112958683947499,-0.364510119547273,0.223129715603634,0.0657063964021076,0.147909343711679,0.128678844952554,-0.148314134548274,-0.0783792214675983,-0.125348043320841,0.220264889535392,-0.122598094878903,NA,-0.0957569303852089,-0.249890647274515
"Streptococcus",-0.157126266088448,-0.326158371696265,-0.193519618677223,-0.348203936729506,-0.117927296491196,-0.16451678053615,-0.0619828355224707,-0.329564120301135,-0.435401712192382,-0.243059154504362,-0.178360134027721,-0.046246904870017,1,-0.242213608767227,-0.0456659426851819,-0.194560820399634,-0.192366750296184,-0.150912806696792,-0.27679707834465,-0.415800467989509,-0.040124457505407,-0.237955339216497,0.139717698530588,0.383186194592267,-0.023708275038963,0.225151359762037,0.0548695511273303,0.308347963764919,-0.224671131226044,0.0166387022259218,-0.177379226188368,-0.511979389035484,NA,-0.243956096039793,-0.215109574272521
"Veillonella",0.444672235619296,0.705456772484832,0.652505427791005,0.844338196833371,0.446971944385069,0.262973426515131,-0.330632120577772,0.760185712887905,0.637609755761141,0.675379101221384,0.832457358191194,-0.0690840369956146,-0.242213608767227,1,0.446886180981913,0.636417482699276,0.365913794513033,0.418102059104859,0.56789776786557,0.113415965943827,0.67345617186458,0.788176150838382,-0.130796305174734,-0.142977107658307,-0.225689379436518,-0.469897732131924,-0.25481242928404,-0.264633977218469,0.32267617530994,0.287962543892599,0.193546241969198,0.47375042695544,NA,-0.0886430192737745,-0.0979369274428231
"Abiotrophia",0.0673335140447304,0.312629007227882,0.43454196107198,0.517184155383762,0.12179123593421,0.239297512802091,-0.107135380142314,0.507907309547282,0.417240374904099,0.450128601361,0.511606504714498,-0.0276058607400912,-0.0456659426851819,0.446886180981913,1,0.741470230896057,0.207181126118629,0.111493065865113,0.337297168456087,-0.140088107140798,0.277601848681958,0.435310760767545,-0.0908303642184472,0.0884072126365937,-0.227405006068649,-0.0810675688141529,0.089165101626402,-0.237843935995981,-0.0753090814876959,0.452016792981106,0.0247894171977661,0.0443757708451723,NA,0.0342532090661435,0.0241202251948577
"Lautropia",0.337696666973475,0.469008236868835,0.635927777124094,0.718946647870547,0.280332677727906,0.0855357644416992,-0.0202769449592243,0.700518025047848,0.495137551515954,0.642345288382111,0.583273413544255,-0.0944128522955782,-0.194560820399634,0.636417482699276,0.741470230896057,1,0.244695250671395,0.3981382679888,0.503621764273081,-0.000651759130388264,0.500902721715766,0.617406883929284,-0.147080175107748,0.0117965068529535,-0.280271704679838,-0.290866986248289,-0.0321944948119714,-0.305444104846504,-0.0698146674438414,0.509681463801838,0.0776993543784309,0.154891304366512,NA,0.043436895251729,-0.136516476126429
"Staphylococcus",0.308423947228894,0.299986265387139,0.162828799207855,0.390877687610009,-0.100486967285153,0.255609955120359,-0.169597999881765,0.39816197644381,0.323070633187803,0.355169453335456,0.34355376858229,-0.0401192019996446,-0.192366750296184,0.365913794513033,0.207181126118629,0.244695250671395,1,0.37494787776639,0.145385496160622,0.0831516600041794,0.216757065359521,0.396005331112691,-0.0644886567768344,-0.185652887994496,-0.174951484997799,-0.176202060800224,-0.108169876129378,-0.208680444580676,0.481840566328101,-0.0357032933210219,0.242378358276914,0.332093814474207,NA,-0.0579611269155572,-0.0698146674438414
