K_value,Avg_silhouette,Sil_cluster1,Sil_cluster2,Sil_cluster3,Sil_cluster4,Sil_cluster5
13,0.8248711494,0.7936043589,0.9105852822,,,
14,0.8234370219,0.7920550158,0.9136602894,,,
15,0.8228660719,0.7914092379,0.9111659567,,,
12,0.8210593018,0.7891352079,0.9106707936,,,
16,0.8210331392,0.7894152121,0.9188697437,,,
11,0.8204224547,0.7884062421,0.9102925251,,,
10,0.8202729325,0.7884275589,0.9163987824,,,
9,0.8197795947,0.7881150147,0.9228446984,,,
17,0.8192897932,0.7873480472,0.9181284034,,,
18,0.8182252665,0.9135040036,0.7858775471,,,
8,0.8173491976,0.7849501914,0.9176027264,,,
19,0.8164494318,0.8953731901,0.7841624398,,,
20,0.8155519106,0.8973141189,0.7828470273,,,
6,0.8155152686,0.7821031632,0.8953910832,,,
21,0.8143689541,0.8926249247,0.7816344304,,,
7,0.8143145455,0.7815993647,0.9207992515,,,
22,0.8129241879,0.8918695963,0.7799012719,,,
23,0.8107491019,0.8906797123,0.7773140754,,,
24,0.8103981851,0.8843174462,0.7773809151,,,
25,0.8090496234,0.8814633348,0.7760017551,,,
26,0.8079218837,0.8787176779,0.7749157364,,,
4,0.8078058979,0.9244585997,0.8215635528,0.767395504,,
29,0.8070104021,0.8658397492,0.7759385638,,,
30,0.8065079729,0.8656694513,0.7752607132,,,
27,0.8064414519,0.8778822002,0.7731346165,,,
28,0.8060442615,0.8712886911,0.7736470275,,,
31,0.8056749657,0.8630729336,0.774737054,,,
32,0.8046869334,0.8624269852,0.773564636,,,
35,0.8043962098,0.8562344984,0.7747206677,,,
34,0.8043375537,0.8582140517,0.7741046988,,,
40,0.8041039919,0.8437595884,0.778568191,,,
33,0.8040613824,0.8620748224,0.7727917268,,,
36,0.8032722608,0.8554249469,0.7734167376,,,
37,0.802998282,0.8532190296,0.773672298,,,
41,0.8028682481,0.8427979855,0.7771559172,,,
38,0.802804441,0.8509639465,0.7741212061,,,
39,0.802553646,0.8487182862,0.7745129016,,,
42,0.802053097,0.8378847864,0.7780734279,,,
43,0.8005315285,0.8408977136,0.7745381517,,,
44,0.7994827536,0.8400399262,0.7733663925,,,
45,0.7984690641,0.8392269373,0.772223464,,,
46,0.7980050651,0.8345599195,0.7735414317,,,
47,0.7964626024,0.8333027239,0.7718080595,,,
48,0.7953316627,0.8323621333,0.7705497324,,,
5,0.7940519739,0.9185365206,0.8736282217,0.7256366632,,
49,0.7934988416,0.8329883683,0.7675744195,,,
50,0.7922377987,0.8319687468,0.7661548863,,,
51,0.7910755169,0.8310422936,0.7648377856,,,
52,0.7893990034,0.8318975914,0.7620324884,,,
53,0.7881677864,0.8308998707,0.760650914,,,
54,0.7869481674,0.8298957747,0.7592925112,,,
55,0.7854862355,0.8286870798,0.7576675101,,,
56,0.7845519929,0.8279108525,0.7566315152,,,
57,0.783674,0.8271979885,0.7556471892,,,
92,0.783114293,0.752800368,0.8465593908,0.7785656877,,
90,0.7827646464,0.7457117273,0.8470098088,0.7872911525,,
58,0.7827061188,0.8263980881,0.7545711386,,,
91,0.7824519112,0.7455424731,0.8469538836,0.7866261078,,
93,0.7820950583,0.7495949898,0.846436479,0.7799539622,,
59,0.781582808,0.8254780278,0.7533169468,,,
94,0.7813615769,0.7487043767,0.846320034,0.7790128665,,
95,0.780763173,0.7480240403,0.8461663573,0.7782269124,,
60,0.7806854081,0.8247533534,0.7523083222,,,
96,0.7804164497,0.7475736199,0.8460797322,0.7778380221,,
97,0.7798405773,0.7469353435,0.8458946444,0.7770857381,,
61,0.7793831943,0.8236885448,0.7508532338,,,
98,0.7788363483,0.7447843967,0.848753574,0.7763469359,,
99,0.7778011994,0.7424517104,0.8515201816,0.7759335653,,
100,0.7774910162,0.7422490803,0.8513668013,0.7753933858,,
101,0.7774719668,0.7443308464,0.8512900927,0.7724417366,,
102,0.7770834747,0.7439135238,0.8510775495,0.7719806685,,
62,0.7768690291,0.8238754564,0.7471807592,,,
103,0.7759895504,0.7386768292,0.8507762038,0.7763860278,,
104,0.7759877079,0.7407619474,0.8506847542,0.7733621857,,
106,0.7740555604,0.7354064832,0.8532692662,0.7749419729,,
105,0.7739606549,0.7332298033,0.8534258522,0.7779538107,,
63,0.7737609912,0.8259785804,0.7420436408,,,
107,0.7736557358,0.7349584633,0.8531994128,0.7744014561,,
108,0.7735765623,0.7368028662,0.8530965716,0.7714131504,,
