"","x"
"1",4
"2",4
"3",1
"4",4
"5",1
"6",4
"7",1
"8",2
"9",1
"10",4
"11",1
"12",4
"13",4
"14",4
"15",4
"16",5
"17",4
"18",2
"19",1
"20",2
"21",4
"22",2
"23",4
"24",1
"25",1
"26",1
"27",1
"28",1
"29",2
"30",4
"31",4
"32",1
"33",4
"34",4
"35",4
"36",4
"37",1
"38",1
"39",3
"40",1
"41",1
"42",4
"43",1
"44",2
"45",4
"46",4
"47",1
"48",1
"49",1
"50",4
"51",1
"52",4
"53",4
"54",1
"55",4
"56",1
"57",4
"58",1
"59",1
"60",4
"61",4
"62",1
"63",1
"64",1
"65",4
"66",1
"67",1
"68",4
"69",4
"70",1
"71",1
"72",1
"73",1
"74",4
"75",2
"76",1
"77",4
"78",1
"79",1
"80",1
"81",4
"82",4
"83",4
"84",4
"85",1
"86",4
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",5
"95",4
"96",4
"97",1
"98",4
"99",1
"100",1
"101",1
"102",4
"103",4
"104",1
"105",4
"106",1
"107",1
"108",1
"109",1
"110",1
"111",1
"112",1
"113",1
"114",4
"115",4
"116",3
"117",4
"118",4
"119",4
"120",1
"121",4
"122",1
"123",4
"124",4
"125",2
"126",1
"127",1
"128",1
"129",4
"130",1
"131",1
"132",1
"133",4
"134",1
"135",3
"136",4
"137",1
"138",1
"139",1
"140",1
"141",1
"142",4
"143",4
"144",4
"145",1
"146",4
"147",1
"148",1
"149",4
"150",4
"151",2
"152",1
"153",4
"154",1
"155",1
"156",4
"157",2
"158",1
"159",1
"160",1
"161",1
"162",1
"163",1
"164",1
"165",1
"166",1
"167",4
"168",4
"169",1
"170",4
"171",1
"172",1
"173",1
"174",4
"175",1
"176",4
"177",1
"178",1
"179",4
"180",1
"181",1
"182",1
"183",1
"184",4
"185",1
"186",1
"187",1
"188",1
"189",1
"190",4
"191",1
"192",4
"193",2
"194",2
"195",1
"196",1
"197",1
"198",1
"199",1
"200",2
"201",4
"202",1
"203",1
"204",1
"205",4
"206",1
"207",1
"208",4
"209",1
"210",4
"211",2
"212",1
"213",1
"214",1
"215",1
"216",1
"217",4
