K_value,Avg_silhouette,Sil_cluster1,Sil_cluster2,Sil_cluster3,Sil_cluster4,Sil_cluster5
4,0.8524413307,0.8477358064,0.9936070596,,,
1,0.8500850816,0.824389269,0.9652419403,0.8651137774,0.9974358989,
16,0.8447685345,0.8325261903,0.8601989891,,,
14,0.8439645191,0.8027890409,0.8580949256,0.9437455407,,
18,0.8397364362,0.8281283554,0.8540969484,,,
15,0.8387985926,0.8294080934,0.8499913088,,,
19,0.8375088102,0.8247937167,0.8535351261,,,
21,0.8374105511,0.8254398451,0.852219672,,,
20,0.8371328644,0.8243315769,0.8532678206,,,
17,0.8371195007,0.8280366214,0.8479455588,,,
22,0.8370361044,0.8262325055,0.8501547604,,,
6,0.8362294192,0.8219272962,0.8304839003,0.983102788,,
10,0.8352935456,0.8177630802,0.834661726,0.9796440952,,
7,0.8342771224,0.8231772868,0.8249971756,0.9823555254,,
9,0.8335974101,0.8213489914,0.8257627257,0.9809338749,,
8,0.8331511851,0.8207142015,0.8252751187,0.9818868066,,
11,0.832708949,0.8196885168,0.8260924254,0.9789649662,,
23,0.8314146643,0.8181079728,0.84818664,,,
12,0.8306793638,0.8169327074,0.8247051448,0.9783746894,,
24,0.8303405399,0.816923925,0.8472510649,,,
25,0.8288158991,0.8152301085,0.8459396561,,,
26,0.8256028789,0.8099065217,0.8461417293,,,
27,0.8236159484,0.809809033,0.8410184145,,,
29,0.8226644442,0.8057019115,0.8452811545,,,
28,0.8220789065,0.8071703935,0.8412245757,,,
30,0.8210410038,0.8038668953,0.8439398151,,,
13,0.8205918134,0.7681701404,0.8484606119,0.9462895033,,
31,0.8198366938,0.8036959126,0.8409570779,,,
33,0.8182620894,0.7915436201,0.9721416911,0.8291244804,,
34,0.8172754275,0.7905473752,0.9719273445,0.8280263152,,
32,0.8171245604,0.799734933,0.8403107303,,,
3,0.816720127,0.8092734484,0.9888211438,,,
37,0.8167157854,0.7879664649,0.9716201736,0.8306112396,,
35,0.8167090144,0.7899878599,0.9717866361,0.8273822009,,
36,0.8161631341,0.7887927709,0.9716858573,0.8276303065,,
38,0.8161451839,0.7865193144,0.8311617615,0.971488117,,
39,0.8154316936,0.7857754754,0.9712505545,0.8304120829,,
40,0.8146752112,0.7848934206,0.9710336455,0.8297385997,,
41,0.8137531323,0.7832780326,0.9709618052,0.8296213329,,
42,0.8130017878,0.7821713149,0.9708435237,0.8292504044,,
43,0.8123641104,0.781141038,0.8290523712,0.9707861858,,
44,0.8118235087,0.7801753662,0.9706343911,0.8290267683,,
45,0.8109406336,0.7787475729,0.8287529355,0.9705642153,,
46,0.8105878602,0.7783494452,0.9704134764,0.8284289756,,
52,0.8102177572,0.7735017416,0.8363759882,0.9698455217,,
47,0.8101314715,0.7780935876,0.8276552601,0.9702305146,,
51,0.8099554269,0.7747721937,0.8331404483,0.9699027801,,
53,0.8097455716,0.7730609859,0.9696778473,0.8358069985,,
48,0.8096686956,0.7778374678,0.8268551104,0.9701131222,,
54,0.8092871487,0.77254742,0.8353655084,0.9695916917,,
49,0.8092527685,0.7771323384,0.8267807444,0.9700159396,,
55,0.8088232827,0.7718083587,0.8352346863,0.9695121675,,
50,0.8085550617,0.7758863606,0.8267277246,0.969939992,,
56,0.8082824058,0.771119526,0.8348314245,0.9694236214,,
57,0.8079035016,0.770615072,0.8345735996,0.969403032,,
58,0.8074952097,0.7699759264,0.8344491049,0.9692909738,,
59,0.8070269223,0.7695582944,0.8338344954,0.969255977,,
62,0.8068367511,0.7680699847,0.8363462134,0.9690512397,,
60,0.8067088635,0.7691706005,0.8335958418,0.9690640328,,
61,0.8064448127,0.7687981012,0.8334438678,0.9690650842,,
63,0.8064289852,0.7675451322,0.8360603831,0.9689412407,,
64,0.8060141292,0.7667688216,0.8361200883,0.9688708125,,
65,0.8058024346,0.7664686603,0.8360066252,0.9688483681,,
66,0.805529333,0.766279093,0.8355768573,0.9687709072,,
67,0.8052916386,0.7659782259,0.8354078898,0.9686766633,,
68,0.8048668381,0.7652575777,0.835347489,0.9686744902,,
69,0.804432319,0.7646227789,0.835130429,0.9686972713,,
70,0.8039614648,0.7639441806,0.9686215941,0.8348986548,,
71,0.8037723167,0.7637157724,0.9685737023,0.8347433224,,
72,0.8033461754,0.7631817441,0.9684949541,0.8344170691,,
73,0.8030400995,0.7628935615,0.9683783619,0.8340522386,,
74,0.802618617,0.7624187151,0.9682752715,0.833655141,,
75,0.8023477008,0.7621435956,0.8333485969,0.9682493609,,
76,0.8023028163,0.7620239222,0.9682545472,0.8334055231,,
77,0.801957374,0.7616588069,0.9682044836,0.83303868,,
78,0.8014681765,0.7610678001,0.9681676624,0.8326224782,,
79,0.8010740548,0.7605995548,0.9680603844,0.8322887608,,
80,0.8009697005,0.7605175944,0.9679970811,0.8321443532,,
81,0.8008242717,0.7604248517,0.9679476009,0.8319047987,,
82,0.8004863704,0.7598331983,0.967895553,0.8318925323,,
83,0.8001529019,0.7594463361,0.9678469764,0.8315892119,,
84,0.799872122,0.7590516426,0.9677812908,0.8314398005,,
85,0.7997326471,0.7588832252,0.9677128623,0.8313309036,,
86,0.7993235817,0.7584805727,0.8308630547,0.9675926757,,
87,0.799147696,0.7582804705,0.8306914247,0.9676011629,,
88,0.7991139871,0.7582430037,0.9675628098,0.8306640539,,
5,0.7990603074,0.7427411856,0.8172642659,0.9300730927,0.9845998969,
89,0.7989153618,0.757940876,0.9675253479,0.830590642,,
90,0.7988622925,0.7577718734,0.9674695245,0.8307091152,,
91,0.7986478575,0.757569702,0.9674159697,0.8304491165,,
92,0.7984432745,0.7573831925,0.9673796492,0.8301891363,,
93,0.7982195813,0.7571737248,0.9673040662,0.8299191649,,
94,0.798002785,0.756740829,0.967270057,0.8299900394,,
95,0.7978037833,0.7564708249,0.9672656414,0.8298625876,,
96,0.7977896576,0.7564511985,0.9672357585,0.8298592692,,
97,0.7975616989,0.7561619482,0.9671514189,0.8296972326,,
98,0.7974223098,0.7560300127,0.9671291211,0.8295268536,,
99,0.7973566231,0.7560393332,0.967106329,0.8293431619,,
100,0.7972920082,0.7559995937,0.96709096,0.829233433,,
101,0.797218215,0.756060199,0.9669955685,0.8289650074,,
102,0.7970305537,0.7558613134,0.9669744616,0.8287654727,,
103,0.7970122218,0.7559260384,0.9669591115,0.8286240721,,
104,0.7969030414,0.756040047,0.9668798087,0.828180451,,
105,0.7968097723,0.7560422689,0.9668588786,0.8279339239,,
106,0.7966837525,0.7558590381,0.9668319019,0.8278754153,,
107,0.7965055487,0.7555999644,0.966828549,0.8277866914,,
108,0.7963223178,0.755319986,0.9667891512,0.827721665,,
109,0.7961829744,0.7551086246,0.9667463793,0.8276721043,,
110,0.7961084683,0.7550469426,0.9666829994,0.8275767752,,
111,0.7960003888,0.7548834609,0.9666529619,0.8275371236,,
113,0.7958411448,0.7546855869,0.9665870864,0.8274189415,,
112,0.7958286351,0.7546240105,0.9665941858,0.8274754872,,
114,0.7958186143,0.754704044,0.9665578275,0.8273370779,,
115,0.7956663549,0.7546112471,0.9665051423,0.8270800746,,
116,0.7955968774,0.7547181265,0.9663886548,0.8267583893,,
117,0.7954800295,0.7546603804,0.9663435435,0.8265420825,,
118,0.7953310605,0.7543856543,0.9662875843,0.8265628023,,
119,0.795279555,0.7542866873,0.9662650085,0.8265763923,,
120,0.7951578663,0.7541444571,0.9662418733,0.8264681884,,
121,0.7951573454,0.7541403926,0.9662354138,0.8264739103,,
122,0.7950788584,0.7540436232,0.9661707532,0.8264200403,,
123,0.7949652273,0.7538917383,0.9661494345,0.8263470966,,
124,0.7947673732,0.7536139668,0.96613152,0.8262364477,,
125,0.794679965,0.7535342033,0.9660712047,0.8261331333,,
126,0.7945622716,0.7535260195,0.966027015,0.8258412971,,
127,0.7943628823,0.7533641284,0.96596156,0.8255637085,,
128,0.7942263052,0.7531554056,0.9659364262,0.8255145633,,
182,0.7941525863,0.7537783953,0.9593593814,0.8221771911,,
183,0.7940972047,0.7537246306,0.8221066353,0.9593676433,,
184,0.7940716651,0.753688736,0.9593657776,0.8220920229,,
129,0.7940530912,0.7528652729,0.9659427008,0.8254832314,,
185,0.7939832879,0.7535604577,0.9593665173,0.8220461726,,
130,0.7939735341,0.7528297184,0.9659004764,0.8253323695,,
186,0.7939639839,0.7535419064,0.9593833592,0.8220185011,,
187,0.7938627027,0.75345508,0.9593582641,0.8218801196,,
