K_value,Avg_silhouette,Sil_cluster1,Sil_cluster2,Sil_cluster3,Sil_cluster4,Sil_cluster5
5,0.8873554208,0.8801810162,0.9913842886,,,
6,0.874836404,0.8668743704,0.9902858907,,,
7,0.8646846282,0.8560859503,0.9893654576,,,
8,0.8560868484,0.8469484575,0.9885935164,,,
1,0.8543410662,0.8263867885,0.8735429069,0.9973085616,0.9657971634,
3,0.8494715993,0.8378502356,0.9943702009,0.9972896127,,
9,0.8450636817,0.8338969418,0.9853458523,,,
21,0.8387222194,0.8145057481,0.9803686855,0.8498418101,,
22,0.8372455673,0.812828111,0.9798456097,0.8484948945,,
10,0.8362528928,0.8244623133,0.9843720465,,,
23,0.8357349525,0.8113715695,0.9793464259,0.8467354987,,
24,0.835161174,0.8092062739,0.9787895282,0.8489385637,,
25,0.8337520757,0.8066706361,0.9786568625,0.8489738706,,
26,0.8328829282,0.805568446,0.9782170606,0.8483753,,
4,0.8323873422,0.8194956639,0.992702676,0.9970663413,,
27,0.8320195581,0.8049949365,0.8470072619,0.9778043801,,
28,0.8309664311,0.8024790663,0.9778840295,0.847919172,,
11,0.8308637403,0.8186919258,0.9837721599,,,
29,0.8299750506,0.8009441122,0.9776687696,0.8475973856,,
19,0.829503787,0.8398615209,0.9808032535,0.8007799235,,
30,0.8287945797,0.8000624202,0.9772835829,0.8458402535,,
31,0.8271377576,0.7985595455,0.9768294773,0.8437509234,,
12,0.8264374431,0.8139536683,0.9832648646,,,
20,0.8257536708,0.8149448607,0.9803270499,0.8152623463,,
32,0.825707838,0.7969982402,0.9764682278,0.8423324217,,
33,0.8245389951,0.7950037663,0.9762233789,0.8422241329,,
34,0.8238499326,0.795129828,0.9757440961,0.8402964493,,
35,0.8228222917,0.793986892,0.9754936233,0.8393062517,,
36,0.8218955288,0.7921393594,0.8395796724,0.9754952957,,
13,0.8211819778,0.8083285095,0.9826536735,,,
37,0.8209829805,0.7914893028,0.9750839779,0.8381942127,,
38,0.8204348386,0.7906458346,0.9749830513,0.8380055032,,
39,0.8193242258,0.7890246257,0.9747561914,0.8374974463,,
40,0.8185022448,0.7878204912,0.8371259558,0.974598523,,
41,0.8175506016,0.7860809079,0.8372178619,0.974344716,,
42,0.8169093687,0.7851601067,0.9741339271,0.8369156723,,
14,0.8165061382,0.8033251996,0.9820916794,,,
43,0.8163869259,0.7848755314,0.9738548483,0.8360006797,,
44,0.8156588269,0.7839177614,0.9736536014,0.8355215353,,
45,0.8143802778,0.7827630809,0.9732678107,0.8339077824,,
46,0.8134264804,0.7810882515,0.9731436584,0.8338762998,,
47,0.8127733251,0.7802949271,0.9729725454,0.8333476796,,
48,0.8119969715,0.7789363311,0.9729050426,0.8333094654,,
15,0.8118808854,0.79837599,0.9815361339,,,
49,0.8114554646,0.7781907573,0.9727577135,0.8330017829,,
50,0.8105833186,0.7768378403,0.972633077,0.8327114437,,
51,0.8103011671,0.7765071977,0.9724870799,0.8324776003,,
52,0.8097891984,0.7755671571,0.9724439132,0.8325172593,,
53,0.8090929664,0.774421232,0.9723168362,0.8323874259,,
54,0.8081727251,0.7729449805,0.9722070036,0.8321492764,,
16,0.8081251837,0.7943573747,0.9810832837,,,
55,0.8075616779,0.772427194,0.9720520073,0.8313227504,,
56,0.8071076879,0.7720064486,0.9720043923,0.8307503233,,
57,0.8069176707,0.7718609922,0.9718677108,0.8304854455,,
58,0.8065192666,0.7712845986,0.9717659526,0.8302990376,,
59,0.8058954923,0.7703473374,0.9715987232,0.830059901,,
60,0.8051086574,0.7692895928,0.971372389,0.8295771278,,
17,0.8043905287,0.7903621212,0.9806223975,,,
61,0.804153874,0.7679872621,0.9711686676,0.8290069585,,
62,0.8033696953,0.7665542691,0.9710729431,0.8290626355,,
63,0.8029024537,0.7659149689,0.9710009843,0.828781798,,
64,0.8023260489,0.7650148828,0.9708810279,0.8286050903,,
65,0.8017287135,0.7640378629,0.9707163557,0.8284941516,,
66,0.8013263825,0.7632169644,0.9705471841,0.8286696554,,
67,0.8010994198,0.7631935642,0.9704462868,0.8281207904,,
68,0.8007530492,0.7627414952,0.970326739,0.8278916634,,
69,0.8002860117,0.7617311794,0.970228493,0.8281633285,,
18,0.7999400738,0.7856009864,0.9800748602,,,
70,0.7999327916,0.7614974304,0.970207402,0.8275771108,,
71,0.7996984542,0.7615726908,0.9701484399,0.8268559854,,
72,0.7993198454,0.7610117787,0.9700200365,0.8267036674,,
73,0.7988527115,0.760149416,0.9699402872,0.8267535982,,
74,0.7984014525,0.7596684857,0.9697868711,0.826295271,,
75,0.7974901842,0.7585119731,0.8256287208,0.969561865,,
76,0.7965722268,0.7574718342,0.9694096083,0.8247603264,,
77,0.7962702233,0.7568889482,0.9694228918,0.8248189664,,
78,0.7958805104,0.7561818952,0.9693378805,0.8248455012,,
79,0.7955341549,0.7558169214,0.9692605104,0.8244806949,,
80,0.7953055373,0.7554047865,0.9692090422,0.824492632,,
81,0.7951113092,0.7554253841,0.9690834457,0.8239696876,,
82,0.7948082546,0.7549262313,0.9689994539,0.8239185964,,
83,0.7945758704,0.7545430578,0.9689259238,0.8238815968,,
84,0.7944033633,0.7544812268,0.9689352645,0.8235147279,,
85,0.794159192,0.7540723609,0.9688106694,0.8234931663,,
86,0.7939640666,0.753653186,0.9687706749,0.8236021647,,
87,0.7924598008,0.7516878296,0.968526427,0.8225631635,,
88,0.7920070346,0.7509467075,0.9684596846,0.8224699917,,
89,0.7918446809,0.7509963291,0.9684240978,0.8219732021,,
90,0.791635907,0.7506694102,0.9684174296,0.8219042581,,
91,0.791408019,0.750534249,0.9684244228,0.8214994401,,
92,0.7912204203,0.7504875118,0.9684049697,0.8210752767,,
93,0.7910434213,0.7501466369,0.9683991459,0.8211108696,,
94,0.7909128396,0.7501974339,0.9683735357,0.8206947219,,
