"SUID","BEND_MAP_ID","cluster2_Adj_cyto.csv","EdgeBetweenness","inter","interaction","name","selected","shared interaction","shared name"
"1719","1719","2.00262890354926","1.09808612","1","interacts with","Actinobacillus (interacts with) Actinomyces","false","interacts with","Actinobacillus (interacts with) Actinomyces"
"1720","1720","8.985536597617429","1.09307359","1","interacts with","Actinobacillus (interacts with) Fusobacterium","false","interacts with","Actinobacillus (interacts with) Fusobacterium"
"1721","1721","3.10060588762972","1.1510101","1","interacts with","Actinobacillus (interacts with) Gemella","false","interacts with","Actinobacillus (interacts with) Gemella"
"1722","1722","-0.5993475977499871","1.09808612","-1","interacts with","Actinobacillus (interacts with) Granulicatella","false","interacts with","Actinobacillus (interacts with) Granulicatella"
"1723","1723","-3.34681339190656","1.04545455","-1","interacts with","Actinobacillus (interacts with) Haemophilus","false","interacts with","Actinobacillus (interacts with) Haemophilus"
"1724","1724","8.49235844292811","1.04545455","1","interacts with","Actinobacillus (interacts with) Leptotrichia","false","interacts with","Actinobacillus (interacts with) Leptotrichia"
"1725","1725","5.31862062387492","1.09307359","1","interacts with","Actinobacillus (interacts with) Neisseria","false","interacts with","Actinobacillus (interacts with) Neisseria"
"1726","1726","7.5053832687423006","1.04545455","1","interacts with","Actinobacillus (interacts with) Porphyromonas","false","interacts with","Actinobacillus (interacts with) Porphyromonas"
"1727","1727","4.041517464160201","1.04545455","1","interacts with","Actinobacillus (interacts with) Prevotella","false","interacts with","Actinobacillus (interacts with) Prevotella"
"1728","1728","0.661690825474511","1.20427807","1","interacts with","Actinobacillus (interacts with) Rothia","false","interacts with","Actinobacillus (interacts with) Rothia"
"1729","1729","3.4294958728274","1.04545455","1","interacts with","Actinobacillus (interacts with) Veillonella","false","interacts with","Actinobacillus (interacts with) Veillonella"
"1730","1730","5.90171287273168","1.09307359","1","interacts with","Actinobacillus (interacts with) Klebsiella","false","interacts with","Actinobacillus (interacts with) Klebsiella"
"1731","1731","0.0291272438539618","1.14862915","1","interacts with","Actinobacillus (interacts with) Moraxella","false","interacts with","Actinobacillus (interacts with) Moraxella"
"1732","1732","2.28899779539198","1.27169724","1","interacts with","Actinobacillus (interacts with) Pseudomonas","false","interacts with","Actinobacillus (interacts with) Pseudomonas"
"1733","1733","2.48295829104684","1.09307359","1","interacts with","Actinobacillus (interacts with) Aspergillus","false","interacts with","Actinobacillus (interacts with) Aspergillus"
"1734","1734","1.7476498036252799","1.09808612","1","interacts with","Actinobacillus (interacts with) Candida","false","interacts with","Actinobacillus (interacts with) Candida"
