"SUID","BEND_MAP_ID","cluster1_Adj_cyto.csv","EdgeBetweenness","inter","interaction","name","selected","shared interaction","shared name"
"1189","1189","-1.4183581890316699","1.61172161","-1","interacts with","RV (interacts with) PIV3","false","interacts with","RV (interacts with) PIV3"
"1190","1190","-0.16849742695013797","1.87834429","-1","interacts with","RV (interacts with) Saccharomyces","false","interacts with","RV (interacts with) Saccharomyces"
"1191","1191","2.78500464354568","1.81197224","1","interacts with","RV (interacts with) Candida","false","interacts with","RV (interacts with) Candida"
"1192","1192","-1.08258460067889","1.64313187","-1","interacts with","RV (interacts with) Aspergillus","false","interacts with","RV (interacts with) Aspergillus"
"1193","1193","5.38311119777423","1.66727717","1","interacts with","RV (interacts with) Klebsiella","false","interacts with","RV (interacts with) Klebsiella"
"1194","1194","0.8460573716977321","1.76435319","1","interacts with","RV (interacts with) Streptococcus","false","interacts with","RV (interacts with) Streptococcus"
"1195","1195","-1.09401359764588","1.75934066","-1","interacts with","RV (interacts with) Rothia","false","interacts with","RV (interacts with) Rothia"
"1196","1196","0.7312043765499342","1.69729853","1","interacts with","RV (interacts with) Prevotella","false","interacts with","RV (interacts with) Prevotella"
"1197","1197","-1.3447218235220502","1.83304514","-1","interacts with","RV (interacts with) Porphyromonas","false","interacts with","RV (interacts with) Porphyromonas"
"1198","1198","-2.28649516640307","1.76727717","-1","interacts with","RV (interacts with) Haemophilus","false","interacts with","RV (interacts with) Haemophilus"
"1199","1199","-1.89453383725134","1.72685319","-1","interacts with","RV (interacts with) Gemella","false","interacts with","RV (interacts with) Gemella"
"1200","1200","-1.4370435263266","1.82283272","-1","interacts with","RV (interacts with) Fusobacterium","false","interacts with","RV (interacts with) Fusobacterium"
"1201","1201","1.7245125065229898","1.62838828","1","interacts with","RV (interacts with) Actinomyces","false","interacts with","RV (interacts with) Actinomyces"
"1202","1202","10.0738966369667","1.78657541","1","interacts with","RV (interacts with) Actinobacillus","false","interacts with","RV (interacts with) Actinobacillus"
"1203","1203","-1.4183581890316699","1.61172161","-1","interacts with","PIV3 (interacts with) RV","false","interacts with","PIV3 (interacts with) RV"
"1204","1204","2.51991196509255","1.18942308","1","interacts with","PIV3 (interacts with) unidentified","false","interacts with","PIV3 (interacts with) unidentified"
"1205","1205","1.6917841442547898","1.36854575","1","interacts with","PIV3 (interacts with) Saccharomyces","false","interacts with","PIV3 (interacts with) Saccharomyces"
"1206","1206","-0.749977190079792","1.33382353","-1","interacts with","PIV3 (interacts with) Penicillium","false","interacts with","PIV3 (interacts with) Penicillium"
"1207","1207","-0.868589386196731","1.20192308","-1","interacts with","PIV3 (interacts with) Cryptococcus","false","interacts with","PIV3 (interacts with) Cryptococcus"
"1208","1208","21.707318174794","1.16275063","1","interacts with","PIV3 (interacts with) Candida","false","interacts with","PIV3 (interacts with) Candida"
"1209","1209","0.803248347654562","1.32083333","1","interacts with","PIV3 (interacts with) Aspergillus","false","interacts with","PIV3 (interacts with) Aspergillus"
"1210","1210","3.0591597387050005","1.13392857","1","interacts with","PIV3 (interacts with) Pseudomonas","false","interacts with","PIV3 (interacts with) Pseudomonas"
"1211","1211","11.154645111431101","1.31021242","1","interacts with","PIV3 (interacts with) Klebsiella","false","interacts with","PIV3 (interacts with) Klebsiella"
"1212","1212","0.571351098621661","1.26442308","1","interacts with","PIV3 (interacts with) Veillonella","false","interacts with","PIV3 (interacts with) Veillonella"
"1213","1213","8.49932976226507","1.11513158","1","interacts with","PIV3 (interacts with) Streptococcus","false","interacts with","PIV3 (interacts with) Streptococcus"
"1214","1214","-0.34270124621852505","1.11011905","-1","interacts with","PIV3 (interacts with) Rothia","false","interacts with","PIV3 (interacts with) Rothia"
"1215","1215","-1.20877098890764","1.175","-1","interacts with","PIV3 (interacts with) Prevotella","false","interacts with","PIV3 (interacts with) Prevotella"
"1216","1216","0.12117367213577698","1.18382353","1","interacts with","PIV3 (interacts with) Porphyromonas","false","interacts with","PIV3 (interacts with) Porphyromonas"
"1217","1217","2.3536825714987","1.13392857","1","interacts with","PIV3 (interacts with) Neisseria","false","interacts with","PIV3 (interacts with) Neisseria"
"1218","1218","0.806969149056537","1.13392857","1","interacts with","PIV3 (interacts with) Leptotrichia","false","interacts with","PIV3 (interacts with) Leptotrichia"
"1219","1219","4.04193628093119","1.11805556","1","interacts with","PIV3 (interacts with) Haemophilus","false","interacts with","PIV3 (interacts with) Haemophilus"
"1220","1220","-0.248480274761022","1.27132353","-1","interacts with","PIV3 (interacts with) Granulicatella","false","interacts with","PIV3 (interacts with) Granulicatella"
"1221","1221","0.7593948379756351","1.11513158","1","interacts with","PIV3 (interacts with) Gemella","false","interacts with","PIV3 (interacts with) Gemella"
"1222","1222","0.6058141204071171","1.17361111","1","interacts with","PIV3 (interacts with) Fusobacterium","false","interacts with","PIV3 (interacts with) Fusobacterium"
"1223","1223","-2.31601940996436","1.12132353","-1","interacts with","PIV3 (interacts with) Actinomyces","false","interacts with","PIV3 (interacts with) Actinomyces"
"1224","1224","-0.229040705745871","1.1748538","-1","interacts with","PIV3 (interacts with) Actinobacillus","false","interacts with","PIV3 (interacts with) Actinobacillus"
"1225","1225","2.51991196509255","1.18942308","1","interacts with","unidentified (interacts with) PIV3","false","interacts with","unidentified (interacts with) PIV3"
"1226","1226","-2.8747397860117903","1.43296883","-1","interacts with","unidentified (interacts with) Saccharomyces","false","interacts with","unidentified (interacts with) Saccharomyces"
"1227","1227","10.9840705953038","1.37741327","1","interacts with","unidentified (interacts with) Penicillium","false","interacts with","unidentified (interacts with) Penicillium"
"1228","1228","-0.107719872551862","1.1125","-1","interacts with","unidentified (interacts with) Cryptococcus","false","interacts with","unidentified (interacts with) Cryptococcus"
"1229","1229","0.43432889537328706","1.2271737","1","interacts with","unidentified (interacts with) Candida","false","interacts with","unidentified (interacts with) Candida"
"1230","1230","4.28188127412137","1.41858974","1","interacts with","unidentified (interacts with) Aspergillus","false","interacts with","unidentified (interacts with) Aspergillus"
"1231","1231","0.44414372734688495","1.05","1","interacts with","unidentified (interacts with) Pseudomonas","false","interacts with","unidentified (interacts with) Pseudomonas"
"1232","1232","0.689751904371178","1.48777473","1","interacts with","unidentified (interacts with) Moraxella","false","interacts with","unidentified (interacts with) Moraxella"
"1233","1233","3.7041092341697","1.3746355","1","interacts with","unidentified (interacts with) Klebsiella","false","interacts with","unidentified (interacts with) Klebsiella"
"1234","1234","5.020299379775911","1.175","1","interacts with","unidentified (interacts with) Veillonella","false","interacts with","unidentified (interacts with) Veillonella"
"1235","1235","4.097815388340109","1.17955466","1","interacts with","unidentified (interacts with) Streptococcus","false","interacts with","unidentified (interacts with) Streptococcus"
"1236","1236","9.45282110968891","1.17454212","1","interacts with","unidentified (interacts with) Rothia","false","interacts with","unidentified (interacts with) Rothia"
"1237","1237","6.46937028337322","1.24824661","1","interacts with","unidentified (interacts with) Porphyromonas","false","interacts with","unidentified (interacts with) Porphyromonas"
"1238","1238","7.07980812105617","1.05","1","interacts with","unidentified (interacts with) Neisseria","false","interacts with","unidentified (interacts with) Neisseria"
"1239","1239","45.5246367720115","1.05","1","interacts with","unidentified (interacts with) Leptotrichia","false","interacts with","unidentified (interacts with) Leptotrichia"
"1240","1240","5.15238947590495","1.18247863","1","interacts with","unidentified (interacts with) Haemophilus","false","interacts with","unidentified (interacts with) Haemophilus"
"1241","1241","3.76834239315291","1.30465686","1","interacts with","unidentified (interacts with) Granulicatella","false","interacts with","unidentified (interacts with) Granulicatella"
"1242","1242","3.4584252427838997","1.31348323","1","interacts with","unidentified (interacts with) Gemella","false","interacts with","unidentified (interacts with) Gemella"
"1243","1243","4.15436136180426","1.23803419","1","interacts with","unidentified (interacts with) Fusobacterium","false","interacts with","unidentified (interacts with) Fusobacterium"
"1244","1244","4.2834494975051305","1.18574661","1","interacts with","unidentified (interacts with) Actinomyces","false","interacts with","unidentified (interacts with) Actinomyces"
"1245","1245","1.99217072468754","1.37869996","1","interacts with","unidentified (interacts with) Actinobacillus","false","interacts with","unidentified (interacts with) Actinobacillus"
"1246","1246","-0.16849742695013797","1.87834429","-1","interacts with","Saccharomyces (interacts with) RV","false","interacts with","Saccharomyces (interacts with) RV"
"1247","1247","1.6917841442547898","1.36854575","1","interacts with","Saccharomyces (interacts with) PIV3","false","interacts with","Saccharomyces (interacts with) PIV3"
"1248","1248","2.7406491737041003","1.43296883","1","interacts with","Saccharomyces (interacts with) unidentified","false","interacts with","Saccharomyces (interacts with) unidentified"
"1249","1249","2.59116655373523","1.59179236","1","interacts with","Saccharomyces (interacts with) Penicillium","false","interacts with","Saccharomyces (interacts with) Penicillium"
"1250","1250","1.86729370796408","1.44546883","1","interacts with","Saccharomyces (interacts with) Cryptococcus","false","interacts with","Saccharomyces (interacts with) Cryptococcus"
"1251","1251","5.325385052838611","1.2911648","1","interacts with","Saccharomyces (interacts with) Candida","false","interacts with","Saccharomyces (interacts with) Candida"
"1252","1252","2.1909356664419","1.58888889","1","interacts with","Saccharomyces (interacts with) Aspergillus","false","interacts with","Saccharomyces (interacts with) Aspergillus"
"1253","1253","0.34683937092187606","1.37747432","1","interacts with","Saccharomyces (interacts with) Pseudomonas","false","interacts with","Saccharomyces (interacts with) Pseudomonas"
"1254","1254","0.162479422354719","1.56630216","1","interacts with","Saccharomyces (interacts with) Moraxella","false","interacts with","Saccharomyces (interacts with) Moraxella"
"1255","1255","-0.49916704796880795","1.55375817","-1","interacts with","Saccharomyces (interacts with) Klebsiella","false","interacts with","Saccharomyces (interacts with) Klebsiella"
"1256","1256","1.68343822880781","1.23937908","1","interacts with","Saccharomyces (interacts with) Streptococcus","false","interacts with","Saccharomyces (interacts with) Streptococcus"
"1257","1257","5.23892879982257","1.3536648","1","interacts with","Saccharomyces (interacts with) Rothia","false","interacts with","Saccharomyces (interacts with) Rothia"
"1258","1258","1.17047242021308","1.41854575","1","interacts with","Saccharomyces (interacts with) Prevotella","false","interacts with","Saccharomyces (interacts with) Prevotella"
"1259","1259","4.80090181371118","1.37747432","1","interacts with","Saccharomyces (interacts with) Neisseria","false","interacts with","Saccharomyces (interacts with) Neisseria"
"1260","1260","4.38351727892281","1.37747432","1","interacts with","Saccharomyces (interacts with) Leptotrichia","false","interacts with","Saccharomyces (interacts with) Leptotrichia"
"1261","1261","1.47350768084547","1.64403595","1","interacts with","Saccharomyces (interacts with) Granulicatella","false","interacts with","Saccharomyces (interacts with) Granulicatella"
"1262","1262","2.8634208953999103","1.29493464","1","interacts with","Saccharomyces (interacts with) Fusobacterium","false","interacts with","Saccharomyces (interacts with) Fusobacterium"
"1263","1263","5.47736879150253","1.36486928","1","interacts with","Saccharomyces (interacts with) Actinomyces","false","interacts with","Saccharomyces (interacts with) Actinomyces"
"1264","1264","-0.749977190079792","1.33382353","-1","interacts with","Penicillium (interacts with) PIV3","false","interacts with","Penicillium (interacts with) PIV3"
"1265","1265","10.9840705953038","1.37741327","1","interacts with","Penicillium (interacts with) unidentified","false","interacts with","Penicillium (interacts with) unidentified"
"1266","1266","2.59116655373523","1.59179236","1","interacts with","Penicillium (interacts with) Saccharomyces","false","interacts with","Penicillium (interacts with) Saccharomyces"
"1267","1267","3.75687407744924","1.38991327","1","interacts with","Penicillium (interacts with) Cryptococcus","false","interacts with","Penicillium (interacts with) Cryptococcus"
"1268","1268","-5.5229103449229004","1.51099723","-1","interacts with","Penicillium (interacts with) Candida","false","interacts with","Penicillium (interacts with) Candida"
"1269","1269","8.43623577030343","1.39215686","1","interacts with","Penicillium (interacts with) Aspergillus","false","interacts with","Penicillium (interacts with) Aspergillus"
"1270","1270","1.6412752439432499","1.32741327","1","interacts with","Penicillium (interacts with) Pseudomonas","false","interacts with","Penicillium (interacts with) Pseudomonas"
"1271","1271","0.6501982534803361","1.46337819","1","interacts with","Penicillium (interacts with) Streptococcus","false","interacts with","Penicillium (interacts with) Streptococcus"
"1272","1272","1.5968151949570502","1.45836565","1","interacts with","Penicillium (interacts with) Rothia","false","interacts with","Penicillium (interacts with) Rothia"
"1273","1273","-0.999355438694022","1.52324661","-1","interacts with","Penicillium (interacts with) Prevotella","false","interacts with","Penicillium (interacts with) Prevotella"
"1274","1274","-0.182837385221191","1.53207014","-1","interacts with","Penicillium (interacts with) Porphyromonas","false","interacts with","Penicillium (interacts with) Porphyromonas"
"1275","1275","0.835771850107464","1.32741327","1","interacts with","Penicillium (interacts with) Neisseria","false","interacts with","Penicillium (interacts with) Neisseria"
"1276","1276","0.8008100241940831","1.32741327","1","interacts with","Penicillium (interacts with) Leptotrichia","false","interacts with","Penicillium (interacts with) Leptotrichia"
"1277","1277","5.162944290024839","1.46630216","1","interacts with","Penicillium (interacts with) Haemophilus","false","interacts with","Penicillium (interacts with) Haemophilus"
"1278","1278","3.10802159367511","1.44895511","1","interacts with","Penicillium (interacts with) Gemella","false","interacts with","Penicillium (interacts with) Gemella"
"1279","1279","0.522308484862877","1.3996355","1","interacts with","Penicillium (interacts with) Fusobacterium","false","interacts with","Penicillium (interacts with) Fusobacterium"
"1280","1280","4.34330794737836","1.50867733","1","interacts with","Penicillium (interacts with) Actinobacillus","false","interacts with","Penicillium (interacts with) Actinobacillus"
"1281","1281","-0.868589386196731","1.20192308","-1","interacts with","Cryptococcus (interacts with) PIV3","false","interacts with","Cryptococcus (interacts with) PIV3"
"1282","1282","-0.107719872551862","1.1125","-1","interacts with","Cryptococcus (interacts with) unidentified","false","interacts with","Cryptococcus (interacts with) unidentified"
"1283","1283","1.86729370796408","1.44546883","1","interacts with","Cryptococcus (interacts with) Saccharomyces","false","interacts with","Cryptococcus (interacts with) Saccharomyces"
"1284","1284","3.75687407744924","1.38991327","1","interacts with","Cryptococcus (interacts with) Penicillium","false","interacts with","Cryptococcus (interacts with) Penicillium"
"1285","1285","-0.795466000991247","1.2396737","-1","interacts with","Cryptococcus (interacts with) Candida","false","interacts with","Cryptococcus (interacts with) Candida"
"1286","1286","-0.829074275375201","1.0625","-1","interacts with","Cryptococcus (interacts with) Pseudomonas","false","interacts with","Cryptococcus (interacts with) Pseudomonas"
"1287","1287","1.60314854400076","1.35444139","1","interacts with","Cryptococcus (interacts with) Moraxella","false","interacts with","Cryptococcus (interacts with) Moraxella"
"1288","1288","-1.85953494638113","1.25796883","-1","interacts with","Cryptococcus (interacts with) Klebsiella","false","interacts with","Cryptococcus (interacts with) Klebsiella"
"1289","1289","-0.902844844041982","1.1875","-1","interacts with","Cryptococcus (interacts with) Veillonella","false","interacts with","Cryptococcus (interacts with) Veillonella"
"1290","1290","0.9034708008988359","1.19205466","1","interacts with","Cryptococcus (interacts with) Streptococcus","false","interacts with","Cryptococcus (interacts with) Streptococcus"
"1291","1291","0.3960921218948","1.18704212","1","interacts with","Cryptococcus (interacts with) Rothia","false","interacts with","Cryptococcus (interacts with) Rothia"
"1292","1292","-1.77810819048828","1.12692308","-1","interacts with","Cryptococcus (interacts with) Prevotella","false","interacts with","Cryptococcus (interacts with) Prevotella"
"1293","1293","-1.2522742323569","1.13574661","-1","interacts with","Cryptococcus (interacts with) Porphyromonas","false","interacts with","Cryptococcus (interacts with) Porphyromonas"
"1294","1294","-1.0557710888654899","1.0625","-1","interacts with","Cryptococcus (interacts with) Neisseria","false","interacts with","Cryptococcus (interacts with) Neisseria"
"1295","1295","-1.20287544062078","1.0625","-1","interacts with","Cryptococcus (interacts with) Leptotrichia","false","interacts with","Cryptococcus (interacts with) Leptotrichia"
"1296","1296","6.610696226886099","1.19497863","1","interacts with","Cryptococcus (interacts with) Haemophilus","false","interacts with","Cryptococcus (interacts with) Haemophilus"
"1297","1297","-1.24025251122864","1.1879902","-1","interacts with","Cryptococcus (interacts with) Granulicatella","false","interacts with","Cryptococcus (interacts with) Granulicatella"
"1298","1298","-0.672003601526157","1.32598323","-1","interacts with","Cryptococcus (interacts with) Gemella","false","interacts with","Cryptococcus (interacts with) Gemella"
"1299","1299","-1.88006084335759","1.25053419","-1","interacts with","Cryptococcus (interacts with) Fusobacterium","false","interacts with","Cryptococcus (interacts with) Fusobacterium"
"1300","1300","-0.247068478021993","1.19824661","-1","interacts with","Cryptococcus (interacts with) Actinomyces","false","interacts with","Cryptococcus (interacts with) Actinomyces"
"1301","1301","-0.839231441622359","1.39119996","-1","interacts with","Cryptococcus (interacts with) Actinobacillus","false","interacts with","Cryptococcus (interacts with) Actinobacillus"
"1302","1302","0.0967371258993948","1.81197224","1","interacts with","Candida (interacts with) RV","false","interacts with","Candida (interacts with) RV"
"1303","1303","15.952280226366598","1.16275063","1","interacts with","Candida (interacts with) PIV3","false","interacts with","Candida (interacts with) PIV3"
"1304","1304","-23.219608136949102","1.2271737","-1","interacts with","Candida (interacts with) unidentified","false","interacts with","Candida (interacts with) unidentified"
"1305","1305","-14.6740435951072","1.2911648","-1","interacts with","Candida (interacts with) Saccharomyces","false","interacts with","Candida (interacts with) Saccharomyces"
"1306","1306","-23.327356391526397","1.51099723","-1","interacts with","Candida (interacts with) Penicillium","false","interacts with","Candida (interacts with) Penicillium"
"1307","1307","-0.795466000991247","1.2396737","-1","interacts with","Candida (interacts with) Cryptococcus","false","interacts with","Candida (interacts with) Cryptococcus"
"1308","1308","-18.6004213534716","1.50441729","-1","interacts with","Candida (interacts with) Aspergillus","false","interacts with","Candida (interacts with) Aspergillus"
"1309","1309","13.0078806526319","1.1716792","1","interacts with","Candida (interacts with) Pseudomonas","false","interacts with","Candida (interacts with) Pseudomonas"
"1310","1310","2.5191711838291297","1.5139652","1","interacts with","Candida (interacts with) Moraxella","false","interacts with","Candida (interacts with) Moraxella"
"1311","1311","1.6997231106997999","1.34796304","1","interacts with","Candida (interacts with) Klebsiella","false","interacts with","Candida (interacts with) Klebsiella"
"1312","1312","0.780770956248797","1.3021737","1","interacts with","Candida (interacts with) Veillonella","false","interacts with","Candida (interacts with) Veillonella"
"1313","1313","8.19455310256532","1.15288221","1","interacts with","Candida (interacts with) Streptococcus","false","interacts with","Candida (interacts with) Streptococcus"
"1314","1314","3.0708741569038303","1.21275063","1","interacts with","Candida (interacts with) Prevotella","false","interacts with","Candida (interacts with) Prevotella"
"1315","1315","0.20034576844374302","1.22157416","1","interacts with","Candida (interacts with) Porphyromonas","false","interacts with","Candida (interacts with) Porphyromonas"
"1316","1316","9.51740920730887","1.1716792","1","interacts with","Candida (interacts with) Neisseria","false","interacts with","Candida (interacts with) Neisseria"
"1317","1317","-1.99530424812877","1.1716792","-1","interacts with","Candida (interacts with) Leptotrichia","false","interacts with","Candida (interacts with) Leptotrichia"
"1318","1318","10.885604027453198","1.15580618","1","interacts with","Candida (interacts with) Haemophilus","false","interacts with","Candida (interacts with) Haemophilus"
"1319","1319","13.654705415107","1.43824082","1","interacts with","Candida (interacts with) Granulicatella","false","interacts with","Candida (interacts with) Granulicatella"
"1320","1320","4.92254135970448","1.21136174","1","interacts with","Candida (interacts with) Fusobacterium","false","interacts with","Candida (interacts with) Fusobacterium"
"1321","1321","1.27963365849273","1.15907416","1","interacts with","Candida (interacts with) Actinomyces","false","interacts with","Candida (interacts with) Actinomyces"
"1322","1322","0.15012551508220198","1.3520275","1","interacts with","Candida (interacts with) Actinobacillus","false","interacts with","Candida (interacts with) Actinobacillus"
"1323","1323","-1.08258460067889","1.64313187","-1","interacts with","Aspergillus (interacts with) RV","false","interacts with","Aspergillus (interacts with) RV"
"1324","1324","0.803248347654562","1.32083333","1","interacts with","Aspergillus (interacts with) PIV3","false","interacts with","Aspergillus (interacts with) PIV3"
"1325","1325","7.37653042506299","1.41858974","1","interacts with","Aspergillus (interacts with) unidentified","false","interacts with","Aspergillus (interacts with) unidentified"
"1326","1326","2.1909356664419","1.58888889","1","interacts with","Aspergillus (interacts with) Saccharomyces","false","interacts with","Aspergillus (interacts with) Saccharomyces"
"1327","1327","8.43623577030343","1.39215686","1","interacts with","Aspergillus (interacts with) Penicillium","false","interacts with","Aspergillus (interacts with) Penicillium"
"1328","1328","0.7279386936407909","1.50441729","1","interacts with","Aspergillus (interacts with) Candida","false","interacts with","Aspergillus (interacts with) Candida"
"1329","1329","0.44161317466010497","1.47559524","1","interacts with","Aspergillus (interacts with) Pseudomonas","false","interacts with","Aspergillus (interacts with) Pseudomonas"
"1330","1330","3.65675340490578","1.60608974","1","interacts with","Aspergillus (interacts with) Veillonella","false","interacts with","Aspergillus (interacts with) Veillonella"
"1331","1331","3.5138824507738704","1.45679825","1","interacts with","Aspergillus (interacts with) Streptococcus","false","interacts with","Aspergillus (interacts with) Streptococcus"
"1332","1332","4.40858207943879","1.45178571","1","interacts with","Aspergillus (interacts with) Rothia","false","interacts with","Aspergillus (interacts with) Rothia"
"1333","1333","9.7216586721878","1.47559524","1","interacts with","Aspergillus (interacts with) Neisseria","false","interacts with","Aspergillus (interacts with) Neisseria"
"1334","1334","2.9387165957573904","1.47559524","1","interacts with","Aspergillus (interacts with) Leptotrichia","false","interacts with","Aspergillus (interacts with) Leptotrichia"
"1335","1335","3.2324329263927596","1.45972222","1","interacts with","Aspergillus (interacts with) Haemophilus","false","interacts with","Aspergillus (interacts with) Haemophilus"
"1336","1336","3.92355093890944","1.43596491","1","interacts with","Aspergillus (interacts with) Gemella","false","interacts with","Aspergillus (interacts with) Gemella"
"1337","1337","2.11802217633153","1.39305556","1","interacts with","Aspergillus (interacts with) Fusobacterium","false","interacts with","Aspergillus (interacts with) Fusobacterium"
"1338","1338","4.32519561469325","1.4629902","1","interacts with","Aspergillus (interacts with) Actinomyces","false","interacts with","Aspergillus (interacts with) Actinomyces"
"1339","1339","3.15710794844961","1.49568713","1","interacts with","Aspergillus (interacts with) Actinobacillus","false","interacts with","Aspergillus (interacts with) Actinobacillus"
"1340","1340","3.0591597387050005","1.13392857","1","interacts with","Pseudomonas (interacts with) PIV3","false","interacts with","Pseudomonas (interacts with) PIV3"
"1341","1341","0.44414372734688495","1.05","1","interacts with","Pseudomonas (interacts with) unidentified","false","interacts with","Pseudomonas (interacts with) unidentified"
"1342","1342","0.34683937092187606","1.37747432","1","interacts with","Pseudomonas (interacts with) Saccharomyces","false","interacts with","Pseudomonas (interacts with) Saccharomyces"
"1343","1343","1.6412752439432499","1.32741327","1","interacts with","Pseudomonas (interacts with) Penicillium","false","interacts with","Pseudomonas (interacts with) Penicillium"
"1344","1344","-0.829074275375201","1.0625","-1","interacts with","Pseudomonas (interacts with) Cryptococcus","false","interacts with","Pseudomonas (interacts with) Cryptococcus"
"1345","1345","13.0078806526319","1.1716792","1","interacts with","Pseudomonas (interacts with) Candida","false","interacts with","Pseudomonas (interacts with) Candida"
"1346","1346","0.44161317466010497","1.47559524","1","interacts with","Pseudomonas (interacts with) Aspergillus","false","interacts with","Pseudomonas (interacts with) Aspergillus"
"1347","1347","-1.1100796758878302","1.43777473","-1","interacts with","Pseudomonas (interacts with) Moraxella","false","interacts with","Pseudomonas (interacts with) Moraxella"
"1348","1348","0.540747463968525","1.31914099","1","interacts with","Pseudomonas (interacts with) Klebsiella","false","interacts with","Pseudomonas (interacts with) Klebsiella"
"1349","1349","-0.834028263432125","1.125","-1","interacts with","Pseudomonas (interacts with) Veillonella","false","interacts with","Pseudomonas (interacts with) Veillonella"
"1350","1350","9.40536758516835","1.12406015","1","interacts with","Pseudomonas (interacts with) Streptococcus","false","interacts with","Pseudomonas (interacts with) Streptococcus"
"1351","1351","-0.8028934369139921","1.11904762","-1","interacts with","Pseudomonas (interacts with) Rothia","false","interacts with","Pseudomonas (interacts with) Rothia"
"1352","1352","-0.8249727968803579","1.18392857","-1","interacts with","Pseudomonas (interacts with) Prevotella","false","interacts with","Pseudomonas (interacts with) Prevotella"
"1353","1353","-0.283401478386311","1.1927521","-1","interacts with","Pseudomonas (interacts with) Porphyromonas","false","interacts with","Pseudomonas (interacts with) Porphyromonas"
"1354","1354","0.772966720122238","1.0","1","interacts with","Pseudomonas (interacts with) Neisseria","false","interacts with","Pseudomonas (interacts with) Neisseria"
"1355","1355","0.16809343442108898","1.0","1","interacts with","Pseudomonas (interacts with) Leptotrichia","false","interacts with","Pseudomonas (interacts with) Leptotrichia"
"1356","1356","-3.67408439858226","1.12698413","-1","interacts with","Pseudomonas (interacts with) Haemophilus","false","interacts with","Pseudomonas (interacts with) Haemophilus"
"1357","1357","-1.66226626086373","1.25465686","-1","interacts with","Pseudomonas (interacts with) Granulicatella","false","interacts with","Pseudomonas (interacts with) Granulicatella"
"1358","1358","-0.7069909409763899","1.25798872","-1","interacts with","Pseudomonas (interacts with) Gemella","false","interacts with","Pseudomonas (interacts with) Gemella"
"1359","1359","-0.8141437850852679","1.18253968","-1","interacts with","Pseudomonas (interacts with) Fusobacterium","false","interacts with","Pseudomonas (interacts with) Fusobacterium"
"1360","1360","-0.23944979336620004","1.1302521","-1","interacts with","Pseudomonas (interacts with) Actinomyces","false","interacts with","Pseudomonas (interacts with) Actinomyces"
"1361","1361","0.174818475290536","1.32320545","1","interacts with","Pseudomonas (interacts with) Actinobacillus","false","interacts with","Pseudomonas (interacts with) Actinobacillus"
"1362","1362","0.689751904371178","1.48777473","1","interacts with","Moraxella (interacts with) unidentified","false","interacts with","Moraxella (interacts with) unidentified"
"1363","1363","0.162479422354719","1.56630216","1","interacts with","Moraxella (interacts with) Saccharomyces","false","interacts with","Moraxella (interacts with) Saccharomyces"
"1364","1364","1.60314854400076","1.35444139","1","interacts with","Moraxella (interacts with) Cryptococcus","false","interacts with","Moraxella (interacts with) Cryptococcus"
"1365","1365","2.5191711838291297","1.5139652","1","interacts with","Moraxella (interacts with) Candida","false","interacts with","Moraxella (interacts with) Candida"
"1366","1366","-1.1100796758878302","1.43777473","-1","interacts with","Moraxella (interacts with) Pseudomonas","false","interacts with","Moraxella (interacts with) Pseudomonas"
"1367","1367","-0.988884752050231","1.3664072","-1","interacts with","Moraxella (interacts with) Klebsiella","false","interacts with","Moraxella (interacts with) Klebsiella"
"1368","1368","-1.96039170420299","1.42335165","-1","interacts with","Moraxella (interacts with) Veillonella","false","interacts with","Moraxella (interacts with) Veillonella"
"1369","1369","4.34063791260131","1.46085165","1","interacts with","Moraxella (interacts with) Streptococcus","false","interacts with","Moraxella (interacts with) Streptococcus"
"1370","1370","-0.11266683259166801","1.58539377","-1","interacts with","Moraxella (interacts with) Rothia","false","interacts with","Moraxella (interacts with) Rothia"
"1371","1371","-2.26504886699757","1.50444139","-1","interacts with","Moraxella (interacts with) Prevotella","false","interacts with","Moraxella (interacts with) Prevotella"
"1372","1372","2.77806587837373","1.51326492","1","interacts with","Moraxella (interacts with) Porphyromonas","false","interacts with","Moraxella (interacts with) Porphyromonas"
"1373","1373","1.08810684924034","1.43777473","1","interacts with","Moraxella (interacts with) Neisseria","false","interacts with","Moraxella (interacts with) Neisseria"
"1374","1374","-1.99194314323175","1.43777473","-1","interacts with","Moraxella (interacts with) Leptotrichia","false","interacts with","Moraxella (interacts with) Leptotrichia"
