SUID,BEND_MAP_ID,cluster1_Adj_cyto.csv,inter,interaction,name,selected,shared interaction,shared name,
612,565,-1.418358189,,interacts with,RV (interacts with) PIV3,false,interacts with,RV (interacts with) PIV3,22
613,564,-0.168497427,,interacts with,RV (interacts with) Saccharomyces,false,interacts with,RV (interacts with) Saccharomyces,
614,563,2.7850046435,,interacts with,RV (interacts with) Candida,false,interacts with,RV (interacts with) Candida,
615,562,-1.0825846007,,interacts with,RV (interacts with) Aspergillus,false,interacts with,RV (interacts with) Aspergillus,
616,561,5.3831111978,,interacts with,RV (interacts with) Klebsiella,false,interacts with,RV (interacts with) Klebsiella,
617,560,0.8460573717,,interacts with,RV (interacts with) Streptococcus,false,interacts with,RV (interacts with) Streptococcus,
618,559,-1.0940135976,,interacts with,RV (interacts with) Rothia,false,interacts with,RV (interacts with) Rothia,
619,558,0.7312043765,,interacts with,RV (interacts with) Prevotella,false,interacts with,RV (interacts with) Prevotella,
620,557,-1.3447218235,,interacts with,RV (interacts with) Porphyromonas,false,interacts with,RV (interacts with) Porphyromonas,
621,556,-2.2864951664,,interacts with,RV (interacts with) Haemophilus,false,interacts with,RV (interacts with) Haemophilus,
622,555,-1.8945338373,,interacts with,RV (interacts with) Gemella,false,interacts with,RV (interacts with) Gemella,
623,554,-1.4370435263,,interacts with,RV (interacts with) Fusobacterium,false,interacts with,RV (interacts with) Fusobacterium,
624,553,1.7245125065,,interacts with,RV (interacts with) Actinomyces,false,interacts with,RV (interacts with) Actinomyces,
625,552,10.073896637,,interacts with,RV (interacts with) Actinobacillus,false,interacts with,RV (interacts with) Actinobacillus,
626,551,-1.418358189,,interacts with,PIV3 (interacts with) RV,false,interacts with,PIV3 (interacts with) RV,
627,549,1.6917841443,,interacts with,PIV3 (interacts with) Saccharomyces,false,interacts with,PIV3 (interacts with) Saccharomyces,
628,548,-0.7499771901,,interacts with,PIV3 (interacts with) Penicillium,false,interacts with,PIV3 (interacts with) Penicillium,
629,547,-0.8685893862,,interacts with,PIV3 (interacts with) Cryptococcus,false,interacts with,PIV3 (interacts with) Cryptococcus,
630,546,21.7073181748,,interacts with,PIV3 (interacts with) Candida,false,interacts with,PIV3 (interacts with) Candida,
631,545,0.8032483477,,interacts with,PIV3 (interacts with) Aspergillus,false,interacts with,PIV3 (interacts with) Aspergillus,
632,544,3.0591597387,1,interacts with,PIV3 (interacts with) Pseudomonas,true,interacts with,PIV3 (interacts with) Pseudomonas,
633,543,11.1546451114,,interacts with,PIV3 (interacts with) Klebsiella,false,interacts with,PIV3 (interacts with) Klebsiella,
634,542,0.5713510986,,interacts with,PIV3 (interacts with) Veillonella,false,interacts with,PIV3 (interacts with) Veillonella,
635,541,8.4993297623,,interacts with,PIV3 (interacts with) Streptococcus,false,interacts with,PIV3 (interacts with) Streptococcus,
636,540,-0.3427012462,,interacts with,PIV3 (interacts with) Rothia,false,interacts with,PIV3 (interacts with) Rothia,
637,539,-1.2087709889,,interacts with,PIV3 (interacts with) Prevotella,false,interacts with,PIV3 (interacts with) Prevotella,
638,538,0.1211736721,,interacts with,PIV3 (interacts with) Porphyromonas,false,interacts with,PIV3 (interacts with) Porphyromonas,
639,537,2.3536825715,,interacts with,PIV3 (interacts with) Neisseria,false,interacts with,PIV3 (interacts with) Neisseria,
640,536,0.8069691491,,interacts with,PIV3 (interacts with) Leptotrichia,false,interacts with,PIV3 (interacts with) Leptotrichia,
641,535,4.0419362809,,interacts with,PIV3 (interacts with) Haemophilus,false,interacts with,PIV3 (interacts with) Haemophilus,
642,534,-0.2484802748,,interacts with,PIV3 (interacts with) Granulicatella,false,interacts with,PIV3 (interacts with) Granulicatella,
643,533,0.759394838,,interacts with,PIV3 (interacts with) Gemella,false,interacts with,PIV3 (interacts with) Gemella,
644,532,0.6058141204,,interacts with,PIV3 (interacts with) Fusobacterium,false,interacts with,PIV3 (interacts with) Fusobacterium,
645,531,-2.31601941,,interacts with,PIV3 (interacts with) Actinomyces,false,interacts with,PIV3 (interacts with) Actinomyces,
646,530,-0.2290407057,,interacts with,PIV3 (interacts with) Actinobacillus,false,interacts with,PIV3 (interacts with) Actinobacillus,
647,508,-0.168497427,,interacts with,Saccharomyces (interacts with) RV,false,interacts with,Saccharomyces (interacts with) RV,
648,507,1.6917841443,,interacts with,Saccharomyces (interacts with) PIV3,false,interacts with,Saccharomyces (interacts with) PIV3,
649,505,2.5911665537,,interacts with,Saccharomyces (interacts with) Penicillium,false,interacts with,Saccharomyces (interacts with) Penicillium,
650,504,1.867293708,,interacts with,Saccharomyces (interacts with) Cryptococcus,false,interacts with,Saccharomyces (interacts with) Cryptococcus,
651,503,5.3253850528,,interacts with,Saccharomyces (interacts with) Candida,false,interacts with,Saccharomyces (interacts with) Candida,
652,502,2.1909356664,,interacts with,Saccharomyces (interacts with) Aspergillus,false,interacts with,Saccharomyces (interacts with) Aspergillus,
653,501,0.3468393709,1,interacts with,Saccharomyces (interacts with) Pseudomonas,true,interacts with,Saccharomyces (interacts with) Pseudomonas,
654,500,0.1624794224,,interacts with,Saccharomyces (interacts with) Moraxella,false,interacts with,Saccharomyces (interacts with) Moraxella,
655,499,-0.499167048,,interacts with,Saccharomyces (interacts with) Klebsiella,false,interacts with,Saccharomyces (interacts with) Klebsiella,
656,498,1.6834382288,,interacts with,Saccharomyces (interacts with) Streptococcus,false,interacts with,Saccharomyces (interacts with) Streptococcus,
657,497,5.2389287998,,interacts with,Saccharomyces (interacts with) Rothia,false,interacts with,Saccharomyces (interacts with) Rothia,
658,496,1.1704724202,,interacts with,Saccharomyces (interacts with) Prevotella,false,interacts with,Saccharomyces (interacts with) Prevotella,
659,495,4.8009018137,,interacts with,Saccharomyces (interacts with) Neisseria,false,interacts with,Saccharomyces (interacts with) Neisseria,
660,494,4.3835172789,,interacts with,Saccharomyces (interacts with) Leptotrichia,false,interacts with,Saccharomyces (interacts with) Leptotrichia,
661,493,1.4735076808,,interacts with,Saccharomyces (interacts with) Granulicatella,false,interacts with,Saccharomyces (interacts with) Granulicatella,
662,492,2.8634208954,,interacts with,Saccharomyces (interacts with) Fusobacterium,false,interacts with,Saccharomyces (interacts with) Fusobacterium,
663,491,5.4773687915,,interacts with,Saccharomyces (interacts with) Actinomyces,false,interacts with,Saccharomyces (interacts with) Actinomyces,
664,490,-0.7499771901,,interacts with,Penicillium (interacts with) PIV3,false,interacts with,Penicillium (interacts with) PIV3,
665,488,2.5911665537,,interacts with,Penicillium (interacts with) Saccharomyces,false,interacts with,Penicillium (interacts with) Saccharomyces,
666,487,3.7568740774,,interacts with,Penicillium (interacts with) Cryptococcus,false,interacts with,Penicillium (interacts with) Cryptococcus,
667,486,-5.5229103449,,interacts with,Penicillium (interacts with) Candida,false,interacts with,Penicillium (interacts with) Candida,
668,485,8.4362357703,,interacts with,Penicillium (interacts with) Aspergillus,false,interacts with,Penicillium (interacts with) Aspergillus,
669,484,1.6412752439,1,interacts with,Penicillium (interacts with) Pseudomonas,true,interacts with,Penicillium (interacts with) Pseudomonas,
670,483,0.6501982535,,interacts with,Penicillium (interacts with) Streptococcus,false,interacts with,Penicillium (interacts with) Streptococcus,
