SUID,cluster2_Adj_cyto.csv,inter,interaction,name,selected,shared interaction,shared name,
85,-2.0376580155,,interacts with,RV (interacts with) PIV3,false,interacts with,RV (interacts with) PIV3,4
86,-2.1606875815,,interacts with,RV (interacts with) Saccharomyces,false,interacts with,RV (interacts with) Saccharomyces,
87,3.9145094099,,interacts with,RV (interacts with) Penicillium,false,interacts with,RV (interacts with) Penicillium,
88,-1.5410346115,,interacts with,RV (interacts with) Cryptococcus,false,interacts with,RV (interacts with) Cryptococcus,
89,5.1604518099,,interacts with,RV (interacts with) Candida,false,interacts with,RV (interacts with) Candida,
90,0.4245744963,,interacts with,RV (interacts with) Aspergillus,false,interacts with,RV (interacts with) Aspergillus,
91,0.8113967348,,interacts with,RV (interacts with) Moraxella,false,interacts with,RV (interacts with) Moraxella,
92,-0.6888761569,,interacts with,RV (interacts with) Klebsiella,false,interacts with,RV (interacts with) Klebsiella,
93,3.9772601427,,interacts with,RV (interacts with) Veillonella,false,interacts with,RV (interacts with) Veillonella,
94,-4.314128706,,interacts with,RV (interacts with) Streptococcus,false,interacts with,RV (interacts with) Streptococcus,
95,2.5848029625,,interacts with,RV (interacts with) Rothia,false,interacts with,RV (interacts with) Rothia,
96,1.1485246993,,interacts with,RV (interacts with) Prevotella,false,interacts with,RV (interacts with) Prevotella,
97,2.1719952965,,interacts with,RV (interacts with) Porphyromonas,false,interacts with,RV (interacts with) Porphyromonas,
98,3.7107180918,,interacts with,RV (interacts with) Neisseria,false,interacts with,RV (interacts with) Neisseria,
99,-0.4449102718,,interacts with,RV (interacts with) Leptotrichia,false,interacts with,RV (interacts with) Leptotrichia,
100,1.2354411771,,interacts with,RV (interacts with) Haemophilus,false,interacts with,RV (interacts with) Haemophilus,
101,-0.7310361307,,interacts with,RV (interacts with) Fusobacterium,false,interacts with,RV (interacts with) Fusobacterium,
102,-1.4997373339,,interacts with,RV (interacts with) Actinobacillus,false,interacts with,RV (interacts with) Actinobacillus,
103,-2.0376580155,,interacts with,PIV3 (interacts with) RV,false,interacts with,PIV3 (interacts with) RV,
104,2.2966157093,,interacts with,PIV3 (interacts with) Saccharomyces,false,interacts with,PIV3 (interacts with) Saccharomyces,
105,-2.7286909685,,interacts with,PIV3 (interacts with) Penicillium,false,interacts with,PIV3 (interacts with) Penicillium,
106,-2.6242914279,,interacts with,PIV3 (interacts with) Cryptococcus,false,interacts with,PIV3 (interacts with) Cryptococcus,
107,9.2547570104,,interacts with,PIV3 (interacts with) Candida,false,interacts with,PIV3 (interacts with) Candida,
