"","labels"
"DU0098",3
"DU0099",2
"TT0040",3
"TT0041",3
"TT0046",3
"TT0047",3
"TT0044",3
"TT0045",1
"KL0014",3
"DU0091",2
"TT0048",3
"DU0093",2
"DU0094",2
"DU0095",2
"DU0096",2
"DU0097",2
"DU0010",2
"DU0011",3
"DU0012",3
"DU0013",3
"DU0014",3
"DU0015",3
"DU0016",2
"DU0017",3
"DU0018",3
"DU0019",2
"KL0006",1
"KL0005",3
"KL0004",3
"DU0087",2
"DU0085",2
"DU0084",2
"DU0083",3
"DU0082",2
"DU0081",2
"DU0080",2
"DU0088",3
"TT0050",3
"KL0009",1
"KL0008",3
"TT0055",3
"TT0054",3
"TT0057",3
"TT0056",3
"KL0003",3
"KL0002",3
"KL0001",3
"CH0050",2
"CH0051",2
"CH0052",3
"CH0053",3
"TT0042",3
"DU0009",2
"DU0008",3
"DU0007",3
"DU0006",3
"DU0005",3
"DU0004",3
"DU0003",3
"DU0002",2
"DU0001",3
"CH0010",1
"CH0012",1
"CH0013",2
"DU0090",2
"CH0049",1
"CH0043",2
"CH0041",3
"CH0040",3
"CH0047",3
"CH0046",3
"TT0062",3
"CH0044",3
"DU0100",1
"DU0078",2
"TT0049",2
"DU0072",2
"DU0073",2
"DU0070",2
"DU0071",2
"DU0076",2
"DU0077",2
"DU0074",2
"DU0075",3
"KL0012",1
"DU0038",2
"SG0009",3
"SG0001",3
"SG0002",2
"SG0003",1
"SG0004",3
"SG0006",2
"SG0007",3
"DU0069",2
"DU0068",3
"DU0039",2
"CH0038",3
"CH0039",3
"CH0036",3
"CH0037",3
"CH0034",1
"CH0035",3
"DU0065",2
"CH0033",3
"DU0067",2
"CH0031",3
"TT0034",3
"CH0024",1
"CH0027",3
"SG0017",3
"TT0043",3
"SG0012",2
"SG0010",3
"SG0018",3
"DU0054",1
"DU0055",2
"DU0056",2
"DU0057",2
"DU0050",2
"DU0051",2
"DU0052",3
"DU0053",2
"DU0028",3
"DU0058",2
"DU0059",2
"CH0028",3
"TT0008",3
"TT0009",1
"TT0006",3
"TT0007",3
"TT0004",3
"TT0005",3
"CH0021",3
"CH0020",1
"CH0023",3
"TT0001",3
"TT0058",2
"DU0043",3
"DU0042",2
"DU0041",3
"DU0040",2
"DU0047",1
"DU0046",3
"DU0045",2
"DU0044",2
"DU0049",2
"DU0048",1
"CH0019",1
"TT0019",3
"TT0018",3
"TT0015",3
"TT0014",3
"TT0017",3
"TT0016",2
"CH0014",1
"CH0015",3
"CH0016",3
"TT0012",3
"DU0061",2
"DU0060",3
"DU0063",2
"KL0010",3
"CH0002",3
"TT0059",3
"DU0062",2
"SG0013",3
"DU0064",2
"TT0061",3
"CH0006",3
"CH0005",3
"CH0004",2
"CH0003",3
"CH0030",3
"CH0001",3
"DU0066",2
"DU0036",3
"DU0037",3
"DU0034",3
"DU0035",1
"DU0032",1
"DU0033",2
"DU0030",2
"DU0031",3
"TT0020",3
"TT0021",3
"TT0022",2
"TT0023",3
"TT0024",1
"TT0025",3
"TT0026",1
"TT0027",3
"TT0063",3
"TT0028",3
"TT0029",3
"TT0037",3
"TT0036",1
"TT0035",2
"DU0079",3
"TT0033",3
"TT0032",3
"TT0030",3
"TT0039",3
"TT0038",3
"DU0025",3
"DU0024",3
"DU0027",2
"DU0026",2
"DU0021",3
"DU0020",2
"DU0023",3
"DU0022",2
"DU0029",3
"TT0053",3
"TT0052",3
"AL0003",3
"AL0002",3
"AL0004",3
