"","Actinobacillus","Actinomyces","Capnocytophaga","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Abiotrophia","Lautropia","Staphylococcus","Klebsiella","Moraxella","Pseudomonas","Lactobacillus","Aspergillus","Botrytis","Candida","Clavispora","Cryptococcus","Penicillium","Saccharomyces","Schizophyllum","Trichosporon","unidentified","PIV3","PIV4","RV","Boca"
"Actinobacillus",0,0,0,0,0,0,0,0.0381138746141407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0,0,0,0,0,0.23651096864442,0,0,0,0,0,0.211231548466023,0,0.35847748240762,0,0,0,0,0,0,0,0,0,0.197792948085115,0,0,0,0,0,0,0,0,0,0,0
"Capnocytophaga",0,0,0,0,0,0,0,0,0,0,0,0,0,0.192483693224448,0.127954638754598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium",0,0,0,0,0,0,0,0,0,0.251509838708406,0.313443048463205,0,0,0,0,0,0,0,0,0,0,0.0828968268105608,0,0.199622310319265,0,0,0,0,0,0,0,0,0,0,0
"Gemella",0,0,0,0,0,0,0,0.194297848001454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Granulicatella",0,0.23651096864442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194680112270379,0.160224843568287,0.193411738369005,0,0,0,0,0,0,0
"Haemophilus",0,0,0,0,0,0,0,0,0,0,0,0,0.289902828641449,0.220511183728577,0,0,0,0,0,0.14232297232043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leptotrichia",0.0381138746141407,0,0,0,0.194297848001454,0,0,0,0.220856183839646,0.25849131643357,0.280257273246515,0,0,0,0,0.148679923258292,0,0,0,0,0,0,0,0,0,0,0,0.195469218333841,0,0,0,0,0,0,0
"Neisseria",0,0,0,0,0,0,0,0.220856183839646,0,0,0,0,0,0,0,0,0.14895184998004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porphyromonas",0,0,0,0.251509838708406,0,0,0,0.25849131643357,0,0,0,0,0,0.249548194476864,0,0,0,0.109205401688853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella",0,0,0,0.313443048463205,0,0,0,0.280257273246515,0,0,0,0,0,0.335174398703335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0485120218111931,0,0,0,0,0,0
"Rothia",0,0.211231548466023,0,0,0,0,0,0,0,0,0,0,0.238471439132321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus",0,0,0,0,0,0,0.289902828641449,0,0,0,0,0.238471439132321,0,0,0.166073615082436,0,0,0,0,0,0.188599063611014,0,0,0.355824117408713,0,0,0,0,0,0,0,0,0,0,0
"Veillonella",0,0.35847748240762,0.192483693224448,0,0,0,0.220511183728577,0,0,0.249548194476864,0.335174398703335,0,0,0,0,0,0.162682502846734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abiotrophia",0,0,0.127954638754598,0,0,0,0,0,0,0,0,0,0.166073615082436,0,0,0,0,0,0,0,0,0.0835066657204173,0,0,0,0,0,0,0,0,0,0,0,0,0.0724832677755902
"Lautropia",0,0,0,0,0,0,0,0.148679923258292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712384598969748,0,0,0,0,0
"Staphylococcus",0,0,0,0,0,0,0,0,0.14895184998004,0,0,0,0,0.162682502846734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella",0,0,0,0,0,0,0,0,0,0.109205401688853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moraxella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777361482376615,0,0,0,0
"Pseudomonas",0,0,0,0,0,0,0.14232297232043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721598020736408
"Lactobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0.188599063611014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aspergillus",0,0,0,0.0828968268105608,0,0,0,0,0,0,0,0,0,0,0.0835066657204173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Botrytis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945524297092686,0,0,0,0,0,0,0,0,0,0,0
"Candida",0,0.197792948085115,0,0.199622310319265,0,0,0,0,0,0,0,0,0.355824117408713,0,0,0,0,0,0,0,0,0,0.0945524297092686,0,0.0678254364306543,0.325671738565885,0,0.328368846346768,0,0,0.264379780397141,0.256298634175005,0,0.104846646207652,0
"Clavispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678254364306543,0,0,0,0,0,0,0,0,0,0,0
"Cryptococcus",0,0,0,0,0,0.194680112270379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325671738565885,0,0,0,0,0,0,0,0,0,0,0
"Penicillium",0,0,0,0,0,0.160224843568287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saccharomyces",0,0,0,0,0,0.193411738369005,0,0.195469218333841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328368846346768,0,0,0,0,0,0,0,0,0,0,0
"Schizophyllum",0,0,0,0,0,0,0,0,0,0,0.0485120218111931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trichosporon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712384598969748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"unidentified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777361482376615,0,0,0,0,0.264379780397141,0,0,0,0,0,0,0,0,0,0,0
"PIV3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256298634175005,0,0,0,0,0,0,0,0,0,0,0
"PIV4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104846646207652,0,0,0,0,0,0,0,0,0,0,0
"Boca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724832677755902,0,0,0,0,0.0721598020736408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
