"","Actinobacillus","Actinomyces","Capnocytophaga","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Abiotrophia","Lautropia","Staphylococcus","Klebsiella","Moraxella","Pseudomonas","Lactobacillus","Aspergillus","Botrytis","Candida","Clavispora","Cryptococcus","Penicillium","Saccharomyces","Schizophyllum","Trichosporon","unidentified","PIV3","PIV4","RV","Boca"
"Actinobacillus",1,-0.106481056478545,-0.0520611979285409,-0.00828311692408327,0.208056568327814,-0.027946822513474,-0.0842581806148136,-0.0716703909870704,-0.0297246281129856,0.00795162710938764,-0.0851699521787535,-0.0531430957751512,-0.060696079430587,-0.0937529074508849,-0.042634149329397,-0.0344989586750092,-0.0399397336270324,-0.00255483522281076,-0.038823069380149,-0.0963071804301453,-0.0310735859824229,0.0159932402962766,-0.0327778287891042,-0.00920331107125107,-0.0316704674400112,-0.0273385375903613,0.142962625459172,-0.0617968345619618,-0.0280253854137795,0.0665302254858196,-0.0409323346385073,-0.168974697083393,-0.043882487888181,0.462985564673836,-0.0464457167733466
"Actinomyces",-0.106481056478545,1,0.0238619744729168,0.104275527236371,0.0391431102132245,0.0918218537881011,-0.211669455081289,0.317023473935771,-0.0146563590148538,0.104565164252264,0.510594850220673,0.341506970167053,0.176171712631226,0.374746058869028,0.0404409403317548,0.00615522273395273,-0.0651471769944113,-0.0944770907020797,-0.126002770552101,-0.16279389586747,-0.0334351791979612,0.0316947025478636,-0.077408106397351,0.0212491512599789,-0.0952618307989908,-0.0684800377381907,-0.0453185855530342,0.205532398005243,0.175895748978973,-0.0239322877541249,0.00825150243075012,-0.192383757365613,-0.0295553981025361,0.109419710845262,-0.042186887175715
"Capnocytophaga",-0.0520611979285409,0.0238619744729168,1,0.100723190055411,-0.0431362279479003,-0.0476992785385903,-0.114749061878436,0.417214276521845,0.143397772428982,0.0544926391827463,0.035800174725137,0.0539869731862199,-0.0599473456734912,0.148962661848145,0.0687448641456925,0.0872910883999998,-0.0452528890178664,-0.0882837371719295,-0.0694422939748475,0.0455273336908283,-0.0528519126643253,-0.00255701534356749,-0.047435113011,-0.10540466031913,-0.052002439530944,-0.0429686761249547,-0.0525079984696433,0.0396096009586499,-0.0149271963335914,-0.000480163731900423,0.217089023623848,0.0444794832864581,-0.0185280130158106,-0.0740033601604221,0.00574122644606902
"Fusobacterium",-0.00828311692408327,0.104275527236371,0.100723190055411,1,0.108498164663272,-0.0121150185046826,-0.144344176304792,0.0709898910601825,0.0870397078266386,0.722325276307929,0.061841524473003,-0.0425110650348986,-0.0872305677271265,0.0259534369124854,-0.0726479750200031,-0.0403632041046243,0.0182293971584505,-0.0725942413337975,-0.0760220169409047,-0.0888396699747726,-0.029331644883467,-0.0148098301049806,-0.0559876371091865,-0.0990862383381566,-0.0571384678936605,-0.0488667141163401,-0.058768091027858,0.0563833116580361,0.0175985256917651,-0.00547705278386878,0.136661689861694,0.0157239623372105,-0.0651718583682902,-0.0704555183467837,-0.0376691904912605
"Gemella",0.208056568327814,0.0391431102132245,-0.0431362279479003,0.108498164663272,1,0.272603553220745,-0.164490062280594,0.0985621844003634,0.194545701388925,0.135862986142099,-0.0500923451892925,0.12950405147167,0.0522824315116153,-0.0478877212969229,0.108029713460703,0.0328752167432916,0.127740393275365,-0.0386148362584978,-0.014066697364043,-0.15648287953106,-0.0722759020574383,0.0630937160787215,-0.0676182122258754,-0.019967148847185,-0.0386231222428946,-0.0606749951562325,0.127460315140537,0.0511385808652762,-0.00984221662392331,-0.0372801935498598,0.00445860063993913,-0.0342576888565914,-0.0854107106639401,-0.110454611548379,-0.0818509049471535
"Granulicatella",-0.027946822513474,0.0918218537881011,-0.0476992785385903,-0.0121150185046826,0.272603553220745,1,-0.0774291368385255,0.0313556039487631,0.212552136118178,0.0358230529333401,0.0937901391453385,0.242754854867966,0.132363782049406,0.00591271901037429,0.193728405457133,0.0901219292271112,-0.0511774553949898,-0.106726305973069,-0.0310452845490925,-0.141465304216179,-0.0689499864360495,-0.0121824646790225,-0.0212578658975303,0.121744619266281,-0.031892421953387,-0.0610531070357224,0.0110464200899345,0.00742504321240664,-0.0590174825607964,-0.0548635329648065,-0.0189498040172437,-0.0619190971454188,-0.0412484385237932,-0.0877320395620139,-0.0634494088978082
"Haemophilus",-0.0842581806148136,-0.211669455081289,-0.114749061878436,-0.144344176304792,-0.164490062280594,-0.0774291368385255,1,-0.138329456337277,-0.157300888781043,-0.111428169184171,-0.255671567880532,-0.240760429179011,-0.210843825886748,-0.192142609992631,-0.097184422169889,0.00142889107597997,-0.0737154851465933,-0.122981364864102,0.0759082547383578,-0.232693486485364,-0.0650183330936741,0.00738095567428982,0.127170513374049,0.0125650980740744,0.108942020921758,0.201902102965639,0.133651900536496,-0.0657440388564371,-0.0492267185752491,-0.0368169550696592,0.00752135834860692,-0.0380934405790277,-0.0191953026071718,-0.114378083146858,0.133855456110667
"Leptotrichia",-0.0716703909870704,0.317023473935771,0.417214276521845,0.0709898910601825,0.0985621844003634,0.0313556039487631,-0.138329456337277,1,0.101180912974149,-0.0670305382805376,0.295495157113703,0.0831076574902628,0.00525712394747012,0.440239848501917,0.103823621587009,0.328093572234152,-0.0582405787287997,-0.127661260584012,-0.113534591536669,-0.0688491901640142,-0.0768953168320562,-0.00862593329321776,-0.0753750997292975,-0.131371949239007,-0.0800660035714704,-0.0657456775460364,-0.0643081087976666,0.185451273572806,-0.0466085748477112,-0.0206908199709686,0.298736506233384,-0.0127948034103086,0.109186229840898,-0.0588841167705161,-0.0587884213247012
"Neisseria",-0.0297246281129856,-0.0146563590148538,0.143397772428982,0.0870397078266386,0.194545701388925,0.212552136118178,-0.157300888781043,0.101180912974149,1,0.0974381145943389,0.0204376130987425,0.135957896308909,-0.0299573519823765,-0.137293475617984,0.00163009435395573,0.266343637412154,-0.0405153704342336,-0.112835988686659,-0.0718045620613755,-0.151427926843089,-0.0804673027127444,0.353981761981921,-0.0728422237804987,-0.176775365018051,-0.0737781314286046,-0.0596261742919236,-0.0716581533410966,0.119483621037011,-0.0732843857246408,0.186280709900107,0.0947070636772517,-0.0803357008363311,0.00565213920269895,-0.0396560058998395,-0.0669755429668394
"Porphyromonas",0.00795162710938764,0.104565164252264,0.0544926391827463,0.722325276307929,0.135862986142099,0.0358230529333401,-0.111428169184171,-0.0670305382805376,0.0974381145943389,1,-0.0308029815747278,-0.0201493982309821,-0.0819379992175227,-0.0447106886301432,-0.051097710457873,-0.0376831105874219,-0.0494536192821598,-0.0613043780824323,0.0241965476871786,-0.117125118324314,0.0106783944846164,0.0552051580706695,-0.0366584830649347,0.0475164767526616,-0.0271602373772282,-0.0364556835850539,-0.0637794555998448,-0.013121818971268,0.0177801292451159,0.0356751711818722,0.0533064087391686,-0.121080933511613,-0.0501310727131497,-0.0639927646392211,-0.0337188740599296
"Prevotella",-0.0851699521787535,0.510594850220673,0.035800174725137,0.061841524473003,-0.0500923451892925,0.0937901391453385,-0.255671567880532,0.295495157113703,0.0204376130987425,-0.0308029815747278,1,0.478975286708242,0.155974764800061,0.464804742622492,0.17220566178672,-0.0375003726228802,-0.054791005888281,-0.12342423715836,-0.126318722436286,-0.195405625553523,-0.0209998494347178,0.00992976610721088,-0.0970539229012732,0.121113004945902,-0.0932360006176057,-0.0728406919113231,-0.0719325498880627,-0.032459381686101,0.200403863347214,0.0960424809118626,0.0407139732674199,-0.195847400189351,-0.078349699879983,-0.0200690456769507,-0.0603840612506785
"Rothia",-0.0531430957751512,0.341506970167053,0.0539869731862199,-0.0425110650348986,0.12950405147167,0.242754854867966,-0.240760429179011,0.0831076574902628,0.135957896308909,-0.0201493982309821,0.478975286708242,1,0.176646666186804,0.359649828731341,0.272899256460081,-0.0861389543564466,-0.0783816412851509,-0.172001862310338,-0.0877191591300186,-0.231679587022254,-0.057636587197333,0.0860133708623961,-0.0758672949128601,-0.0432647505276613,-0.095713661252802,-0.0740143705988765,-0.0486670451060958,0.16773267417931,0.22649056683142,0.100339925927212,0.10158854705689,-0.189822458098213,-0.00230717504968532,-0.102780548132365,-0.00798324293196704
