"","Actinobacillus","Actinomyces","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Klebsiella","Moraxella","Pseudomonas","Aspergillus","Candida","Cryptococcus","Penicillium","Saccharomyces","unidentified","PIV3","RV"
"Actinobacillus",1,0.0987797726652206,0.230518958906557,0.345256883548139,0.115211998095611,0.0566681329316998,0.28530069197225,0.450483682076717,0.267182158089391,0.094092825657328,0.250596512268129,0.0349688411971186,-0.0341401693765036,0.158185933278807,-0.0131344880234348,0.0296920430583134,0.133517768779139,-0.0805863688728297,-0.0795376698606127,0.0896975251518233,0.00712108558613088,0.105614592799433,0.0915196032226085,0.134121303086321
"Actinomyces",0.0987797726652206,1,0.451809702084259,0.163936140477455,0.346398447580555,-0.0209842979098664,0.572919578376729,0.29631840800008,0.317774381797566,0.729523375414588,0.600485076825727,0.393408608089568,0.69772421189146,-0.106987497336247,-0.130088644217308,-0.10433886502521,0.110270267247889,-0.0125717777301741,0.0220320177791129,0.00767578911036375,0.113741197920227,0.084073623520612,-0.19719812475524,-0.0300515204687451
"Fusobacterium",0.230518958906557,0.451809702084259,1,0.232052888879876,0.250066238264576,0.168943066146412,0.535282843558234,0.539727796841443,0.708049368544649,0.513080619065395,0.308571616602785,0.139432151868151,0.374827030825297,-0.0143333723732411,-0.0921023785634946,-0.112667165873193,0.134472505857665,-0.184899157912113,-0.189616468662789,0.0335924401976532,0.0984163727066428,0.129256077984825,0.0120392115341083,-0.11245539704902
"Gemella",0.345256883548139,0.163936140477455,0.232052888879876,1,0.278430472389123,0.0212819163491983,0.279840375276076,0.323355336650975,0.318412962256072,0.0580829161198003,0.205854623860999,0.123096316766102,0.0281398971440974,0.0674182187013132,-0.0303337055909169,-0.0778617766029416,0.100065178417997,-0.0045352365159585,-0.0267335208590186,0.0117425075644617,-0.00747640124055763,0.0500040418028792,0.0316228684925166,-0.124010643625498
"Granulicatella",0.115211998095611,0.346398447580555,0.250066238264576,0.278430472389123,1,0.136731881311195,0.311904254234986,0.378097589385044,0.239233364689006,0.30739308113097,0.355587617901867,0.24572872994822,0.278264860458368,-0.120158034901309,0.0295475505007625,-0.166399949281392,0.0888429313211643,0.0729608343532605,-0.0993673587125377,0.0438423148899323,-0.0177273818745668,0.157368994643423,-0.0288808200669574,-0.0791740752155745
"Haemophilus",0.0566681329316998,-0.0209842979098664,0.168943066146412,0.0212819163491983,0.136731881311195,1,0.0836694995113638,0.321427516201546,0.205721040680514,-0.139080919866255,0.00889742532991753,0.0336856553136631,-0.0827373762106817,-0.275765076601632,0.334864346173592,-0.35052435878851,0.103311616090145,-0.152983509615172,0.199513711215339,0.284029905218091,0.0248561816860694,0.185486117190495,-0.0215713146935818,-0.173927535949541
"Leptotrichia",0.28530069197225,0.572919578376729,0.535282843558234,0.279840375276076,0.311904254234986,0.0836694995113638,1,0.525605204883159,0.368304067331159,0.569924278888594,0.367193005592786,0.119172676000769,0.545228989675697,-0.103120468620746,-0.188463423909682,-0.0468758705584595,0.137356673605858,-0.167791353346146,-0.090598061515432,-0.0056472966376688,0.0939855368890032,0.0608353304350547,0.0490796591850696,-0.0799322494585504
"Neisseria",0.450483682076717,0.29631840800008,0.539727796841443,0.323355336650975,0.378097589385044,0.321427516201546,0.525605204883159,1,0.542416357022198,0.260722049015587,0.373845001799201,0.0882088675427909,0.128709000359822,-0.127152075020548,0.0549545778872149,-0.0421185537362564,0.235903014842881,-0.229848519068991,-0.0825154055226956,0.0455811199625339,0.0524627556902888,0.213002408105333,0.0832933218717035,-0.0698662530672399
"Porphyromonas",0.267182158089391,0.317774381797566,0.708049368544649,0.318412962256072,0.239233364689006,0.205721040680514,0.368304067331159,0.542416357022198,1,0.314140759973953,0.259887249626969,0.12508648740091,0.157767927385985,-0.0160580955290178,0.0525429748270505,-0.0562860710136711,0.113769325215618,-0.145268677316827,-0.120228402159536,-0.0257677725046251,0.0702616441835366,0.192516471266509,0.0504212725410324,-0.106965586665856
"Prevotella",0.094092825657328,0.729523375414588,0.513080619065395,0.0580829161198003,0.30739308113097,-0.139080919866255,0.569924278888594,0.260722049015587,0.314140759973953,1,0.515784958567225,0.294072465109034,0.762797228829493,-0.113305405646809,-0.241958393680415,-0.175066820592876,0.102614088947226,-0.00389283603459266,-0.148181905251625,-0.161922635192781,-0.0737015471585835,0.0172420058459551,-0.144950866177558,0.0165492712580994
