"","Actinobacillus","Actinomyces","Capnocytophaga","Fusobacterium","Gemella","Granulicatella","Haemophilus","Leptotrichia","Neisseria","Porphyromonas","Prevotella","Rothia","Streptococcus","Veillonella","Abiotrophia","Lautropia","Staphylococcus","Klebsiella","Moraxella","Pseudomonas","Lactobacillus","Aspergillus","Botrytis","Candida","Clavispora","Cryptococcus","Penicillium","Saccharomyces","Schizophyllum","Trichosporon","unidentified","PIV3","PIV4","RV","Boca"
"Actinobacillus",1,0.211890953929098,0.348972413684231,0.563576116188904,0.30191416295205,-0.034458203305737,-0.296777030143605,0.483445197490255,0.449065973395676,0.477529473930601,0.385821328344973,0.024955619571063,-0.0557465600092849,0.344097564887221,0.124272445620488,0.500466022643612,0.102172475850658,0.405796318311178,0.0131182426880618,0.284226936571449,0.213401105938226,0.257282676254899,-0.198386570104205,0.19016340982042,-0.222113450203249,-0.320828983433751,-0.228740533882221,-0.183212032177199,0.120136981534718,0.287968299864048,-0.038216466170314,0.137766849544152,NA,-0.128446935773171,-0.088050978047266
"Actinomyces",0.211890953929098,1,0.622126291606985,0.634873335107956,0.483836120667763,0.420433480232559,-0.570867228515415,0.643044872173627,0.441864280845173,0.55416079603767,0.755079418374332,0.39710619758865,-0.2924119027085,0.788539060160723,0.20195782398756,0.354701462652426,0.213417552839997,0.42068066388773,0.270084400100224,0.210088610444124,0.475242802836517,0.507915068457698,-0.509692852921654,0.154862872275897,-0.441224733838614,-0.445712638764091,-0.238570862454541,-0.226131613723028,0.33594649187387,0.220249574796257,-0.192920537880084,-0.102197716435746,NA,0.0404282186181712,-0.245418418933689
"Capnocytophaga",0.348972413684231,0.622126291606985,1,0.756333461975053,0.498704560917652,0.186198305887636,-0.393006653493039,0.755284467239843,0.556538048107639,0.732857446332817,0.737451534098049,0.15529024386834,-0.186601199254679,0.696543859399233,0.482376429061008,0.638776467902051,0.26600152456034,0.440042829853794,0.241535556405468,0.102641253644649,0.432433571125931,0.517621859102895,-0.408975378676041,0.31651744515371,-0.510392508475063,-0.464297239693681,-0.283647533693763,-0.3271533269787,0.19787062624326,0.331228422481675,-0.262184961816847,-0.131986452993529,NA,0.144824735311325,-0.175587638535629
"Fusobacterium",0.563576116188904,0.634873335107956,0.756333461975053,1,0.513029796937605,0.137159600656711,-0.410770509508453,0.888925704668054,0.664115795255433,0.739812712826334,0.791997523985813,0.138888573988867,-0.208301722931177,0.762902712413821,0.308707826747839,0.579146494667707,0.146776153667442,0.463444592657106,0.21803092354249,0.168758858188313,0.43738664828606,0.616391900960801,-0.421254256526674,0.19382819009214,-0.500399035086457,-0.45091118102647,-0.296866486322992,-0.267888423695064,0.284035163466772,0.396537550129997,-0.109280956289839,-0.0365247943464105,NA,0.0286615833106605,-0.18419671913268
"Gemella",0.30191416295205,0.483836120667763,0.498704560917652,0.513029796937605,1,0.143151280293367,-0.447062121204651,0.616157841346008,0.461509018385957,0.506528060509309,0.61730371214715,0.197277707031617,-0.128956574265055,0.533640632481845,0.368571178994496,0.399029386545895,0.15871651476751,0.511050099229777,0.179561982242515,0.1377664563591,0.386713869252204,0.337111809354452,-0.383781902716515,0.0762907933868827,-0.296189849447347,-0.308022444759848,-0.233865767146597,-0.0667371699590083,0.258645864224963,0.160383299174709,-0.181174840612829,-0.0561831482824397,NA,-0.0564214336586358,-0.197128275928306
"Granulicatella",-0.034458203305737,0.420433480232559,0.186198305887636,0.137159600656711,0.143151280293367,1,-0.237194731479448,0.112718967778226,0.157044161793274,0.118776871854384,0.254883200786222,0.217723857657088,-0.169556584752967,0.257412163365776,0.147847927922163,0.021483487332411,-0.0174189560577907,-0.0364056680831086,0.199223472001882,0.102838263569814,0.150330006616224,0.08842227088018,-0.237404087843348,0.0942166766792237,-0.141319118628313,-0.0261780262501245,0.0487037290935488,0.0514121390875503,0.0106471560001356,-0.00752198030243555,-0.0882246686828969,-0.121765335291622,NA,0.025268805914306,-0.0840085423018461
"Haemophilus",-0.296777030143605,-0.570867228515415,-0.393006653493039,-0.410770509508453,-0.447062121204651,-0.237194731479448,1,-0.453358626790908,-0.385937749762593,-0.397030161528342,-0.58756599704983,-0.352045561559631,0.115146458444843,-0.644623752103763,-0.232749099505351,-0.309432533162641,-0.320966728428729,-0.32073230113469,-0.241382033697856,-0.381219973306763,-0.53505469991186,-0.326342892972867,0.341678280144872,0.0988628671294578,0.231728861608588,0.453343753693059,0.360841326973629,0.258096003058688,-0.112422519142296,-0.284329794035688,0.066249463372163,-0.272369488829007,NA,-0.0765872653743376,0.101897103692722
"Leptotrichia",0.483445197490255,0.643044872173627,0.755284467239843,0.888925704668054,0.616157841346008,0.112718967778226,-0.453358626790908,1,0.719749412289042,0.745343080900989,0.799348713655416,0.0864104328850744,-0.201710938498232,0.739139672708609,0.391053755293087,0.604258668944952,0.181186872994624,0.414200935839632,0.170176223913625,0.233417781642281,0.406911665101855,0.577377324179191,-0.441803399159133,0.118985357866933,-0.458501413644293,-0.460208758902068,-0.287991461162714,-0.269766991592153,0.347988022390106,0.433965726651166,-0.208657511688792,-0.0273047853807886,NA,0.037573408528677,-0.192812635191271
"Neisseria",0.449065973395676,0.441864280845173,0.556538048107639,0.664115795255433,0.461509018385957,0.157044161793274,-0.385937749762593,0.719749412289042,1,0.592458653431052,0.561365481179269,0.165089978648889,-0.293209401088572,0.570606224616708,0.337834057362432,0.553595430956763,0.249095073443195,0.327198319320502,0.125115040050476,0.355244567042093,0.317901461163148,0.413926110860529,-0.249661157202032,-0.0357472111559141,-0.314441504720719,-0.44851521742857,-0.213351014208904,-0.278851190578589,0.210331037068107,0.327294255280965,-0.0961787226065412,0.103391776043656,NA,0.130586116830315,-0.0856741510277676
"Porphyromonas",0.477529473930601,0.55416079603767,0.732857446332817,0.739812712826334,0.506528060509309,0.118776871854384,-0.397030161528342,0.745343080900989,0.592458653431052,1,0.66853722983101,0.181362069238631,-0.182578229554556,0.627390368794421,0.303396880809562,0.63446128145091,0.308047694971341,0.437716510972937,0.242986170324105,0.207253448246393,0.366353617652024,0.497262926428116,-0.375170261066969,0.188141717126707,-0.41561418340367,-0.380256163278301,-0.153586744032576,-0.297078889688076,0.26769568880474,0.349065458028494,-0.147948474261327,-0.100615200752533,NA,0.161782551578849,-0.18419671913268
