"","labels"
"DU0098",1
"DU0099",2
"TT0040",2
"TT0041",4
"TT0046",2
"TT0047",1
"TT0044",4
"TT0045",3
"KL0014",2
"DU0091",1
"TT0048",3
"DU0093",4
"DU0094",4
"DU0095",3
"DU0096",4
"DU0097",4
"DU0010",4
"DU0011",3
"DU0012",3
"DU0013",3
"DU0014",3
"DU0015",3
"DU0016",4
"DU0017",3
"DU0018",1
"DU0019",4
"KL0006",3
"KL0005",2
"KL0004",3
"DU0087",1
"DU0085",4
"DU0084",4
"DU0083",1
"DU0082",1
"DU0081",1
"DU0080",1
"DU0088",3
"TT0050",4
"KL0009",3
"KL0008",2
"TT0055",3
"TT0054",3
"TT0057",2
"TT0056",3
"KL0003",3
"KL0002",3
"KL0001",3
"CH0050",2
"CH0051",1
"CH0052",3
"CH0053",1
"TT0042",3
"DU0009",1
"DU0008",3
"DU0007",2
"DU0006",1
"DU0005",1
"DU0004",1
"DU0003",1
"DU0002",2
"DU0001",1
"CH0010",3
"CH0012",3
"CH0013",2
"DU0090",2
"CH0049",3
"CH0043",1
"CH0041",3
"CH0040",3
"CH0047",2
"CH0046",4
"TT0062",2
"CH0044",3
"DU0100",4
"DU0078",3
"TT0049",2
"DU0072",1
"DU0073",3
"DU0070",1
"DU0071",1
"DU0076",1
"DU0077",4
"DU0074",1
"DU0075",1
"KL0012",2
"DU0038",3
"SG0009",2
"SG0001",4
"SG0002",3
"SG0003",3
"SG0004",2
"SG0006",3
"SG0007",2
"DU0069",1
"DU0068",1
"DU0039",2
"CH0038",1
"CH0039",1
"CH0036",3
"CH0037",2
"CH0034",3
"CH0035",3
"DU0065",1
"CH0033",1
"DU0067",4
"CH0031",2
"TT0034",2
"CH0024",1
"CH0027",1
"SG0017",4
"TT0043",2
"SG0012",1
"SG0010",3
"SG0018",2
"DU0054",4
"DU0055",3
"DU0056",4
"DU0057",1
"DU0050",4
"DU0051",1
"DU0052",4
"DU0053",1
"DU0028",2
"DU0058",3
"DU0059",4
"CH0028",1
"TT0008",2
"TT0009",3
"TT0006",4
"TT0007",1
"TT0004",2
"TT0005",2
"CH0021",2
"CH0020",2
"CH0023",3
"TT0001",2
"TT0058",1
"DU0043",1
"DU0042",4
"DU0041",1
"DU0040",1
"DU0047",4
"DU0046",3
"DU0045",2
"DU0044",1
"DU0049",4
"DU0048",4
"CH0019",2
"TT0019",3
"TT0018",1
"TT0015",1
"TT0014",1
"TT0017",3
"TT0016",1
"CH0014",2
"CH0015",1
"CH0016",1
"TT0012",2
"DU0061",1
"DU0060",1
"DU0063",1
"KL0010",1
"CH0002",4
"TT0059",2
"DU0062",1
"SG0013",2
"DU0064",1
"TT0061",1
"CH0006",2
"CH0005",1
"CH0004",2
"CH0003",2
"CH0030",1
"CH0001",4
"DU0066",1
"DU0036",1
"DU0037",1
"DU0034",1
"DU0035",4
"DU0032",4
"DU0033",1
"DU0030",3
"DU0031",3
"TT0020",2
"TT0021",1
"TT0022",2
"TT0023",4
"TT0024",3
"TT0025",1
"TT0026",2
"TT0027",2
"TT0063",3
"TT0028",1
"TT0029",2
"TT0037",4
"TT0036",2
"TT0035",4
"DU0079",3
"TT0033",2
"TT0032",2
"TT0030",2
"TT0039",1
"TT0038",4
"DU0025",2
"DU0024",2
"DU0027",3
"DU0026",1
"DU0021",3
"DU0020",4
"DU0023",3
"DU0022",4
"DU0029",3
"TT0053",2
"TT0052",2
"AL0003",4
"AL0002",2
"AL0004",1
